pon,id,hinban,id,qty,om
H207671,10091,"CH1071N-03SET DB SN/03",3986,2.0,""
H207675,10338,"CH1071N-03SET DB SP/198",4536,1.0,JUC000009710
H207675,10341,"CH1071N-03SET DB SP/196",321,1.0,JUC000009730
H207678,10394,"CH1071N-03SET DB SN/03",3986,10.0,""
H207678,10426,"CH1071N-03SET DB SP/192",320,1.0,JUC000010053
H207681,10520,"CH1071N-03SET DB SN/01",4197,5.0,""
H207681,10538,"CH1071N-03SET DB SP/178",312,1.0,JUC000010290
H207681,10539,"CH1071N-17 DB SN/03",4598,1.0,JUC000010315
H207681,10549,"CH1071N-03SET DB SP/209",325,1.0,JUC000010377
H207681,10552,"CH1071N-03SET DB SP/176",311,1.0,JUC000010417
H207684,10642,"CH1071N-03SET DB SN/01",4197,5.0,""
H207684,10643,"CH1071N-03SET DB SN/02",4198,5.0,""
H207675,10711,"CH1071N-03SET DB SP/199",4537,1.0,JUC000010808
H207675,10712,"CH1071N-03SET DB SP/199",4537,1.0,JUC000010507
