2020/12/09
CH1092-0.5 SP/183 1.0 H207735 1.0 JUC000015565 5144
CH1070-03L SP/181 1.0 H207735 1.0 JUC000015701 220
TF943B-03 DB SP/192 1.0 H207735 1.0 JUC000015752 5523
TF943B-17 DB SP/192 1.0 H207735 1.0 JUC000015752 5897
CH1071E-03SET DB SP/172 1.0 H207735 1.0 JUC000015758 5545
TF943B-49 DB SP/184 1.0 H207735 1.0 JUC000015781 3305
TF943B-07 DB SP/184 1.0 H207735 1.0 JUC000015781 3274
CH1092-1NC SN/02 1.0 H207735 1.0 JUC000015507 5892
CH1092-11NC SN/02 1.0 H207735 1.0 JUC000015507 5893
CH1092-FSC SN/02 1.0 H207735 1.0 JUC000015507 5894
CH1092-YDC SN/02 1.0 H207735 1.0 JUC000015507 5895
CH1072-32LSETC SN/02 1.0 H207735 1.0 JUC000015761 5501
CH1072-20SETC SN/02 1.0 H207735 1.0 JUC000015761 5503
CH271-50C SP/206 1.0 H207735 1.0 JUC000015769 5790
CH271-42C SP/206 1.0 H207735 1.0 JUC000015769 5788
CH271-37C SP/206 2.0 H207735 2.0 JUC000015769 4437
TF943B-06C ﾁﾘ17 1.0 H207735 1.0 JUC000016307 5974
TF943B-50C ﾁﾘ17 1.0 H207735 1.0 JUC000016307 5975
CH261-03C SP/192 1.0 H207738 1.0 JUC000016175 5958
CH261-17C SP/192 1.0 H207738 1.0 JUC000016175 5966
CH356-59C SP/192 2.0 H207738 2.0 JUC000016175 4459
2020/12/10
TF943B-07 DB SP/209 1.0 H207738 1.0 JUC000016173 5953
TF943B-49 DB SP/209 1.0 H207738 1.0 JUC000016173 5955
TF943B-06 DB SP/182 1.0 H207738 1.0 JUC000016239 5354
TF943B-50 DB SP/182 1.0 H207738 1.0 JUC000016239 5357
TF943B-17 DB SP/182 1.0 H207738 1.0 JUC000016239 5972
2020/12/11
CH1069-03 SN/02 1.0 H207735 1.0 JUC000015541 130
CH271E-08 SP/190 1.0 H207735 1.0 JUC000015572 1927
CH271E-50 SP/190 1.0 H207735 1.0 JUC000015572 1991
CH271-35 SP/184 2.0 H207735 2.0 JUC000015572 4161
CH271E-08 SP/178 1.0 H207735 1.0 JUC000015593 1921
CH271E-50 SP/178 1.0 H207735 1.0 JUC000015593 1984
CH271E-09 SP/196 1.0 H207735 1.0 JUC000015633 1953
CH271E-49 SP/196 1.0 H207735 1.0 JUC000015633 1975
CH271E-08 SP/206 1.0 H207735 1.0 JUC000015700 4547
CH271E-50 SP/206 1.0 H207735 1.0 JUC000015700 1998
CH271E-03 SP/197 1.0 H207735 1.0 JUC000015733 1267
CH271E-03 SP/209 1.0 H207735 1.0 JUC000015735 1272
CH271E-17 SP/209 1.0 H207735 1.0 JUC000015735 1453
CH271E-49 SP/207 1.0 H207735 1.0 JUC000015760 1979
CH271E-41 SP/207 1.0 H207735 1.0 JUC000015760 3970
CH1072-32LSET SP/198 1.0 H207735 1.0 JUC000015761 4677
CH1072-20SET SP/198 1.0 H207735 1.0 JUC000015761 4002
CH271E-50 SP/199 1.0 H207735 1.0 JUC000015922 1997
CH271E-08 SP/199 1.0 H207735 1.0 JUC000015922 4488
