H207740,CH907-37 SP/192,2.0,JUC000016405
H207740,CH271E-49 SP/192,1.0,JUC000016454
H207740,CH232W-03 SP/192,1.0,JUC000016536
H207742,CH1129-2P NA SP/191 SP/192,1.0,JUC000016707
H207742,CH271E-09 SP/192,1.0,JUC000016740
H207742,CH271E-49 SP/192,1.0,JUC000016740
H207742,CH1071E-3P+0.5P SP/192,1.0,JUC000016842
H207742,CH271-35 SP/192,2.0,JUC000016852
H207742,CH232W-03 SP/192,1.0,JUC000016893
H207742,CH261-03+17 SP/192,5.0,
H207742,CHS356-59 SP/192,5.0,
H207746,CH1129-11L DB SP/192 SP/196,8.0,JUC000016954
H207746,CH1129-20R DB SP/192 SP/196,8.0,JUC000016954
H207746,CH1129-11R DB SP/192 SP/196,5.0,JUC000016954
H207746,CH1129-20L DB SP/192 SP/196,5.0,JUC000016954
H207746,CH1129-2P DB SP/192 SP/196,5.0,JUC000016954
H207746,CH1129-3P DB SP/192 SP/196,10.0,JUC000016954
H207748,CH271E-03 SP/192,1.0,JUC000016924
H207749,CH232W-03 SP/192,1.0,JUC000017200
H207749,CH232W-37 SP/192,2.0,JUC000017200
H207749,CH232W-09 SP/192,1.0,JUC000017200
H207749,CH1154-1N SP/196 SP/192,1.0,
H207749,CH1154-1C SP/196 SP/192,1.0,
H207749,CH1154-0.5P SP/192 SP/196,1.0,
H207749,CH1154-0.6P SP/192 SP/196,1.0,
H207749,CH1154-35 SP/192,1.0,
H207751,CH261-03+17 SP/192,3.0,
H207751,CHS356-59 SP/192,3.0,
H207751,CH1092-0.6P SP/192,1.0,JUC000017629
H207754,CH271E-42 SP/192,1.0,JUC000017684
H207754,CH271E-50 SP/192,1.0,JUC000017684
H207754,CH271E-09 SP/192,1.0,JUC000017902
H207754,CH271E-49 SP/192,1.0,JUC000017902
H207754,KY001-16 SP/192,1.0,JUC000017937
H207754,CH1071E-3P+0.5P SP/192,1.0,JUC000017947
H207754,CH271E-49 SP/192,1.0,JUC000017949
H207754,CH271E-09 SP/192,1.0,JUC000017949
H207740,2020-12-10,CH907-37 SP/192,2.0,JUC000016405
H207740,2020-12-10,CH271E-49 SP/192,1.0,JUC000016454
H207740,2020-12-10,CH232W-03 SP/192,1.0,JUC000016536
H207742,2020-12-17,CH1129-2P NA SP/191 SP/192,1.0,JUC000016707
H207742,2020-12-17,CH271E-09 SP/192,1.0,JUC000016740
H207742,2020-12-17,CH271E-49 SP/192,1.0,JUC000016740
H207742,2020-12-17,CH1071E-3P+0.5P SP/192,1.0,JUC000016842
H207742,2020-12-17,CH271-35 SP/192,2.0,JUC000016852
H207742,2020-12-17,CH232W-03 SP/192,1.0,JUC000016893
H207742,2020-12-17,CH261-03+17 SP/192,5.0,
H207742,2020-12-17,CHS356-59 SP/192,5.0,
H207746,2020-12-24,CH1129-11L DB SP/192 SP/196,8.0,JUC000016954
H207746,2020-12-24,CH1129-20R DB SP/192 SP/196,8.0,JUC000016954
H207746,2020-12-24,CH1129-11R DB SP/192 SP/196,5.0,JUC000016954
H207746,2020-12-24,CH1129-20L DB SP/192 SP/196,5.0,JUC000016954
H207746,2020-12-24,CH1129-2P DB SP/192 SP/196,5.0,JUC000016954
H207746,2020-12-24,CH1129-3P DB SP/192 SP/196,10.0,JUC000016954
H207748,2020-12-24,CH271E-03 SP/192,1.0,JUC000016924
H207749,2020-12-26,CH232W-03 SP/192,1.0,JUC000017200
H207749,2020-12-26,CH232W-37 SP/192,2.0,JUC000017200
H207749,2020-12-26,CH232W-09 SP/192,1.0,JUC000017200
H207749,2020-12-26,CH1154-1N SP/196 SP/192,1.0,
H207749,2020-12-26,CH1154-1C SP/196 SP/192,1.0,
H207749,2020-12-26,CH1154-0.5P SP/192 SP/196,1.0,
H207749,2020-12-26,CH1154-0.6P SP/192 SP/196,1.0,
H207749,2020-12-26,CH1154-35 SP/192,1.0,
H207751,2021-01-09,CH261-03+17 SP/192,3.0,
H207751,2021-01-09,CHS356-59 SP/192,3.0,
H207751,2021-01-09,CH1092-0.6P SP/192,1.0,JUC000017629
H207754,2021-01-14,CH271E-42 SP/192,1.0,JUC000017684
H207754,2021-01-14,CH271E-50 SP/192,1.0,JUC000017684
H207754,2021-01-14,CH271E-09 SP/192,1.0,JUC000017902
H207754,2021-01-14,CH271E-49 SP/192,1.0,JUC000017902
H207754,2021-01-14,KY001-16 SP/192,1.0,JUC000017937
H207754,2021-01-14,CH1071E-3P+0.5P SP/192,1.0,JUC000017947
H207754,2021-01-14,CH271E-49 SP/192,1.0,JUC000017949
H207754,2021-01-14,CH271E-09 SP/192,1.0,JUC000017949
