,SN/02, Fabric only ,CHILI:17(ブラック）,50,M,5.7,,,SN/02[CHILI-17],,,布地,,
,CH232W-35,,クッション　小35,10,pcs,8.6,,,CH232W-35,,,ﾇｰﾄﾞ,0.02,
,CH232W-03B,,(大37）2ヶ,4,set,166.8,,,CH232W-03B,,,ﾇｰﾄﾞ,1.25,
,CH232W-08B,,クッション　大37　×1のみ,3,set,140.3,,,CH232W-08B,,,ﾇｰﾄﾞ,1,
,CH232W-17B,Stool ,,1,pcs,54.3,,,CH232W-17B,,,ﾇｰﾄﾞ,0.2,
,CH232W-49B,,クッション　大37　×1のみ,1,set,136.8,,,CH232W-49B,,,ﾇｰﾄﾞ,1,
,CH232W-50B,,クッション　大37　×1のみ,4,set,136.8,,,CH232W-50B,,,ﾇｰﾄﾞ,1,
,CH261-3PB+0.5PB,アクロス　ボディ,スツール同梱,3,sets,264.7,,,CH261-03B+17B,,,ﾇｰﾄﾞ,1.63,
,CH271-03B,マチルダ,(大37）2ヶ,3,pcs,218.8,,,CH271-03B,,,ﾇｰﾄﾞ,1.18,
,CH271-17B,マチルダ　Stool ,,6,pcs,70.8,,,CH271-17B,,,ﾇｰﾄﾞ,0.18,
,CH271-35,Cushion（小）　マチルダ,,10,pcs,9.2,,,CH271-35,,,ﾇｰﾄﾞ,0.02,
,CH271N-08B,マチルダ,クッション　大37　×1のみ,2,pcs,160.9,,,CH271N-08B,,,ﾇｰﾄﾞ,0.98,
,CH271N-49B,マチルダ,クッション　大37　×1のみ,5,pcs,158,,,CH271N-49B,,,ﾇｰﾄﾞ,0.98,
,CH271N-50B,マチルダ,クッション　大37　×1のみ,6,pcs,158,,,CH271N-50B,,,ﾇｰﾄﾞ,0.98,
,CH271-41B,マチルダ,クッション　大37　×1のみ,1,pcs,174.9,,,CH271-41B,,,ﾇｰﾄﾞ,1,
,CH351-03B,Fugue-03 (351) Nude 3P Sofa,,1,pcs,210.3,,,CH351-03B,,,ﾇｰﾄﾞ,1.32,
