CH1145S-04 SP/223,CH1145-3.5PF SP/223,背クッション 2個付き,ソフト仕様,16,set,387.6,,,CH1145S-04 SP/223[WD19259A-5(gray)],,,,1.42,6187
CH1145H-04 SP/221,CH1145-3.5PU SP/221,背クッション 2個付き,ハード仕様,2,set,366.6,,,CH1145H-04 SP/221[WD19259A-1(yellow)],,,,1.42,6221
CH1145H-04 SP/222,CH1145-3.5PU SP/222,背クッション 2個付き,ハード仕様,2,set,366.6,,,CH1145H-04 SP/222[WD19259A-4(blue)],,,,1.42,6220
CH1145S-03 SP/221,CH1145-3PF SP/221,背クッション 2個付き,ハード仕様,2,set,369.1,,,CH1145S-03 SP/221[WD19259A-1(yellow)],,,,1.42,6224
CH1145S-03 SP/222,CH1145-3PF SP/222,背クッション 2個付き,ハード仕様,2,set,369.1,,,CH1145S-03 SP/222[WD19259A-4(blue)],,,,1.42,6237
CH1145S-03 SP/223,CH1145-3PF SP/223,背クッション 2個付き,ハード仕様,2,set,369.1,,,CH1145S-03 SP/223[WD19259A-5(gray)],,,,1.42,6238
CH1145H-03 SP/221,CH1145-3PU SP/221,背クッション 2個付き,ハード仕様,2,set,349.1,,,CH1145H-03 SP/221[WD19259A-1(yellow)],,,,1.42,6222
CH1145H-03 SP/222,CH1145-3PU SP/222,背クッション 2個付き,ハード仕様,2,set,349.1,,,CH1145H-03 SP/222[WD19259A-4(blue)],,,,1.42,6225
CH1145H-03 SP/223,CH1145-3PU SP/223,背クッション 2個付き,ハード仕様,2,set,349.1,,,CH1145H-03 SP/223[WD19259A-5(gray)],,,,1.42,6226
CH1145S-17 SP/221,CH1145-0.5PF SP/221,スツール,ソフト仕様,2,set,102.9,,,CH1145S-17 SP/221[WD19259A-1(yellow)],,,,0.24,6227
CH1145S-17 SP/222,CH1145-0.5PF SP/222,スツール,ソフト仕様,2,set,102.9,,,CH1145S-17 SP/222[WD19259A-4(blue)],,,,0.24,6228
CH1154-10 SP/192 SP/196,CH1154-1N SP/192 SP/196,本体=SP/192 パイピング=SP/196,ユニットSofa アームレスチェア,2,pcs,116.1,,,CH1154-10 SP/192[LARC-1(BE)] SP/196[LARC-17(DBR)],,,,0.4,6193
CH1154-10 SP/196 SP/192,CH1154-1N SP/196 SP/192,本体=SP/196 パイピング=SP/192,ユニットSofa アームレスチェア,15,pcs,116.1,,,CH1154-10 SP/196[LARC-17(DBR)] SP/192[LARC-1(BE)],,,,0.4,6229
CH1154-10 SP/213 SP/199,CH1154-1N SP/213 SP/199,本体=SP/213 パイピング=SP/199,ユニットSofa アームレスチェア,5,pcs,,,,CH1154-10 SP/213[LARC-36(DGY)] SP/199[LARC-3(WH)],,,,0.4,6230
CH1154-25 SP/192 SP/196,CH1154-1C SP/192 SP/196,本体=SP/192 パイピング=SP/196,ユニットSofa コーナーソファ,16,pcs,141.2,,,CH1154-25 SP/192[LARC-1(BE)] SP/196[LARC-17(DBR)],,,,0.49,6231
CH1154-25 SP/196 SP/192,CH1154-1C SP/196 SP/192,本体=SP/196 パイピング=SP/192,ユニットSofa コーナーソファ,1,pcs,141.2,,,CH1154-25 SP/196[LARC-17(DBR)] SP/192[LARC-1(BE)],,,,0.49,6194
CH1154-25 SP/213 SP/199,CH1154-1C SP/213 SP/199,本体=SP/213 パイピング=SP/199,ユニットSofa コーナーソファ,5,pcs,,,,CH1154-25 SP/213[LARC-36(DGY)] SP/199[LARC-3(WH)],,,,0.49,6232
CH1154-63 SP/192 SP/196,CH1154-11N SP/192 SP/196,本体=SP/192 パイピング=SP/196,ユニットSofa カウチ,3,pcs,182.3,,,CH1154-63 SP/192[LARC-1(BE)] SP/196[LARC-17(DBR)],,,,0.80,6233
CH1154-63 SP/196 SP/192,CH1154-11N SP/196 SP/192,本体=SP/196 パイピング=SP/192,ユニットSofa カウチ,3,pcs,182.3,,,CH1154-63 SP/196[LARC-17(DBR)] SP/192[LARC-1(BE)],,,,0.80,6234
CH1154-17L SP/192 SP/196,CH1154-0.6P SP/192 SP/196,本体=SP/192 パイピング=SP/196,ユニットSofa スツールL,6,pcs,103.9,,,CH1154-17L SP/192[LARC-1(BE)] SP/196[LARC-17(DBR)],,,,0.30,6196
CH1154-17L SP/213 SP/199,CH1154-0.6P SP/213 SP/199,本体=SP/213 パイピング=SP/199,ユニットSofa スツールL,5,pcs,,,,CH1154-17L SP/213[LARC-36(DGY)] SP/199[LARC-3(WH)],,,,0.30,6235
CH1154-17S SP/192 SP/196,CH1154-0.5P SP/192 SP/196,本体=SP/192 パイピング=SP/196,ユニットSofa スツールS,8,pcs,80.9,,,CH1154-17S SP/192[LARC-1(BE)] SP/196[LARC-17(DBR)],,,,0.22,6198
CH1154-17S SP/213 SP/199,CH1154-0.5P SP/213 SP/199,本体=SP/213 パイピング=SP/199,ユニットSofa スツールS,5,pcs,,,,CH1154-17S SP/213[LARC-36(DGY)] SP/199[LARC-3(WH)],,,,0.22,6236
SP/183,SP/183　10387C-8A, Fabric only,グレー,100,M,7.8,,,SP/183,,,,,3609,002SP/183
CH232W-08B,CH232W-08B,,CU37x1付き,1,set,140.3,,,CH232W-08B,,,,1.0,3616,014CH232W-08B
CH232W-09B,CH232W-09B,,CU37x1付き,1,set,140.3,,,CH232W-09B,,,,1.0,3617,014CH232W-09B
CH261-02LB,CH261-2.5PB,アクロス　ボディ,,2,pcs,219.3,,,CH261-02LB,,,,1.2,3622,014CH261-02LB
CH261-03B,CH261-3PB+0.5PB,アクロス　ボディ,スツール同梱,2,sets,264.7,,,CH261-03B,,,,1.63,3621,014CH261-03B
CH271E-17B,CH271E-17B,マチルダ　Stool ,,1,pcs,70.8,,,CH271E-17B,,,,0.18,4897,014CH271E-17B
CH271E-50B,CH271E-50B,マチルダ,CU37x1付き,4,pcs,158.0,,,CH271E-50B,,,,0.98,4894,014CH271E-50B
CH351-03B,CH351-03B,Fugue-03 (351) Nude 3P Sofa,,4,pcs,210.3,,,CH351-03B,,,,1.32,3635,014CH351-03B
CH351-06B,CH351-06B,Fugue-06 (351) Nude Sofa,,2,pcs,165.4,,,CH351-06B,,,,1.04,3636,014CH351-06B
CH351-07B,CH351-07B,Fugue-07 (351) Nude Sofa,,2,pcs,165.4,,,CH351-07B,,,,1.04,3637,014CH351-07B
CH351-17B,CH351-17B,Fugue Nude Stool ,,2,pcs,45.2,,,CH351-17B,,,,0.14,3638,014CH351-17B
CH351-49B,CH351-49B,Fugue-49 (351) Nude Couch,,1,pcs,166.3,,,CH351-49B,,,,1.06,3640,014CH351-49B
CH351-50B,CH351-50B,Fugue-50 (351) Nude Couch,,2,pcs,166.3,,,CH351-50B,,,,1.06,3641,014CH351-50B
CH356-59B,CHS356-59B,Head-rest nude body,,20,pcs,18.1,,,CH356-59B,,,,0.06,3642,014CH356-59B
CH232W-37C SN/03,CH232W-37C SN/03,only cover レコルタⅡ（新仕様）,CHILI:25 （ｱｲﾎﾞﾘｰ）,10,pcs,9.4,,,CH232W-37C SN/03[CHILI-25],,,,0.0055,3743,013CH232W-37C SN/03
CH271-08C SN/01,CH271-08C SN/01,only cover,,3,set,46.3,,,CH271-08C SN/01[CHILI-01],,,,0.0275,3766,013CH271I-08C SN/01
CH271-37C SN/01,CH271-37C SN/01,only cover,,10,pcs,11.1,,,CH271-37C SN/01[CHILI-01],,,,0.0055,3770,013CH271-37C SN/01
CH271-41C SN/01,CH271-41C SN/01,only cover,,2,set,43.1,,,CH271-41C SN/01[CHILI-01],,,,0.0275,3773,013CH271I-41C SN/01
CH271-42C SN/01,CH271-42C SN/01,only cover,,2,set,43.1,,,CH271-42C SN/01[CHILI-01],,,,0.0275,3774,013CH271I-42C SN/01
CH271-03C SN/03,CH271-03C SN/03,only cover,,3,set,74.7,,,CH271-03C SN/03[CHILI-25],,,,0.0275,3785,013CH271I-03C SN/03
CH271-08C SN/03,CH271-08C SN/03,only cover,,3,set,46.3,,,CH271-08C SN/03[CHILI-25],,,,0.0275,3786,013CH271I-08C SN/03
CH271-37C SN/03,CH271-37C SN/03,only cover,,10,pcs,11.1,,,CH271-37C SN/03[CHILI-25],,,,0.0055,3790,013CH271-37C SN/03
CH271-41C SN/03,CH271-41C SN/03,only cover,,2,set,43.1,,,CH271-41C SN/03[CHILI-25],,,,0.0275,3793,013CH271I-41C SN/03
CH271-42C SN/03,CH271-42C SN/03,only cover,,2,set,43.1,,,CH271-42C SN/03[CHILI-25],,,,0.0275,3794,013CH271I-42C SN/03
CH271-50C SN/03,CH271-50C SN/03,only cover,,3,set,57.4,,,CH271-50C SN/03[CHILI-25],,,,0.0275,3792,013CH271I-50C SN/03
CH271-41C SP/183,CH271-41C SP/183,only cover,,1,set,61.9,,,CH271-41C SP/183,,,,0.0275,4195,013CH271I-41C SP/183
CH1069-59C SP/176,CH1069-HRC SP/176,Head-rest Cover Only,,2,pcs,8.3,,,CH1069-59C SP/176[ASH-BR],,,,,3873,013CH1069-59C SP/176
CH1069-59C SP/197,CH1069-HRC SP/197,Head-rest Cover Only,,3,pcs,5.5,,,CH1069-59C SP/197[LARC-14(BL)],,,,,3875,013CH1069-59C SP/197
CH1069-59C SP/198,CH1069-HRC SP/198,Head-rest Cover Only,,2,pcs,5.5,,,CH1069-59C SP/198[LARC-27(NV)],,,,,3876,013CH1069-59C SP/198
CH1070-03C SN/02,CH1070-3PC SN/02,総幅(W):1900mm Cover Only,,1,set,61.7,,,CH1070-03C SN/02[CHILI-17],,,,,3885,013CH1070-03C SN/02
CH1070-03LC SN/02,CH1070-3.5PC SN/02,総幅(W):2200mm Cover Only,,1,set,69.2,,,CH1070-03LC SN/02[CHILI-17],,,,,3881,013CH1070-03LC SN/02
CH1070-17C SN/02,CH1070-0.5C SN/02,Stool Cover Only,,1,set,12.4,,,CH1070-17C SN/02[CHILI-17],,,,0.0,3889,013CH1070-17C SN/02
