CH271E-09 SP/183,JUC000008905,2020/05/25,2020/07/17,8,CH271   0001284
CH271E-49 SP/183,JUC000008905,2020/05/25,2020/07/17,8,CH271   0001283
CH271E-08 SP/183,JUC000008905,2020/05/25,2020/07/17,7,CH271   0001588
CH271E-50 SP/183,JUC000008905,2020/05/25,2020/07/17,7,CH271   0001482
CH271-37 SP/183,JUC000008905,2020/05/25,2020/07/17,30,CH271   0000477
CH271-35 SP/180,JUC000008905,2020/05/25,2020/07/17,30,CH271   0000472
CH1070-03L SP/183,JUC000008907,2020/05/25,2020/07/17,4,CH1070  0000001
CH1069-03 SP/197,JUC000008907,2020/05/25,2020/07/17,10,CH1069  0000009
CH1069-17 SP/197,JUC000008907,2020/05/25,2020/07/17,3,CH1069  0000017
CH1069-59 SP/197,JUC000008907,2020/05/25,2020/07/17,15,CH1069  0000010
CH232W-03 SN/02,JUC000008907,2020/05/25,2020/07/17,2,CH232   0001235
CH232W-37 SN/02,JUC000008907,2020/05/25,2020/07/17,4,CH232   0001236
CH272-032 SP/183,JUC000008908,2020/05/25,2020/07/17,3,CH272   0000018
CH272-17 SP/183,JUC000008908,2020/05/25,2020/07/17,3,CH272   0000019
CH272-032 SP/180,JUC000008908,2020/05/25,2020/07/17,1,CH272   0000052
CH272-17 SP/180,JUC000008908,2020/05/25,2020/07/17,1,CH272   0000053
