,1912,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2101,2102
CH1145H-03 SP/221,,,,,,,,,,,,,,,
CH1145H-04 SP/221,,,,,,,,,,,,,,,
CH1145H-17 SP/221,,,,,,,,,,,,,,,
CH1145H-03 SP/222,,,,,,,,,,,,,,,
CH1145H-04 SP/222,,,,,,,,,,,,,,,
CH1145H-17 SP/222,,,,,,,,,,,,,,,
CH1145H-03 SP/223,,,,,,,,,,,,,,,
CH1145H-04 SP/223,,,,,,,,,,,,,,,
CH1145H-17 SP/223,,,,,,,,,,,,,,,
CH1145S-03 SP/221,,,,,,,,,,,,,,,
CH1145S-04 SP/221,,,,,,,,,,,,,,,
CH1145S-17 SP/221,,,,,,,,,,,,,,,
CH1145S-03 SP/222,,,,,,,,,,,,,,,
CH1145S-04 SP/222,,,,,,,,,,,,,,,
CH1145S-17 SP/222,,,,,,,,,,,,,,,
CH1145S-02L SP/223,,,,,,,,,,,,,,,
CH1145S-03 SP/223,,,,,,,,,,,,,,,
CH1145S-04 SP/223,,,,,,,,,,,,,,,
CH1145S-17 SP/223,,,,,,,,,,,,,,,
CH1154-10 SP/196 SP/192,,,,,,,,,,,,,,,
CH1154-17L SP/196 SP/192,,,,,,,,,,,,,,,
CH1154-17S SP/196 SP/192,,,,,,,,,,,,,,,
CH1154-25 SP/196 SP/192,,,,,,,,,,,,,,,
CH1154-35 SP/192,,,,,,,,,,,,,,,
CH1154-63 SP/196 SP/192,,,,,,,,,,,,,,,
CH1154-10 SP/192 SP/196,,,,,,,,,,,,,,,
CH1154-17L SP/192 SP/196,,,,,,,,,,,,,,,
CH1154-17S SP/192 SP/196,,,,,,,,,,,,,,,
CH1154-25 SP/192 SP/196,,,,,,,,,,,,,,,
CH1154-35 SP/196,,,,,,,,,,,,,,,
CH1154-63 SP/192 SP/196,,,,,,,,,,,,,,,
CH1154-10 SP/213 SP/199,,,,,,,,,,,,,,,
CH1154-17L SP/213 SP/199,,,,,,,,,,,,,,,
CH1154-17S SP/213 SP/199,,,,,,,,,,,,,,,
CH1154-25 SP/213 SP/199,,,,,,,,,,,,,,,
CH1154-35 SP/199,,,,,,,,,,,,,,,
CH1154-63 SP/213 SP/199,,,,,,,,,,,,,,,
CH1154-35 SP/213,,,,,,,,,,,,,,,
002SN/01,25,31,30,3,7,19,46,78,20,69,11,35,38,18,7
002SN/02,13,27,13,16,5,36,24,1,30,31,10,41,0,27,6
002SN/03,0,18,7,54,5,0,58,61,43,49,68,25,41,8,73
002SP/122N,67,42,30,0,19,20,14,,,,,,,3,
002SP/126N,35,39,22,42,13,5,7,6,14,1,0,5,26,0,3
002SP/180,41,27,71,91,11,3,30,130,71,59,46,79,68,63,22
002SP/181,21,60,45,83,20,14,34,77,90,72,68,121,87,43,25
002SP/182,0,38,14,0,10,0,24,55,46,0,35,6,16,18,6
002SP/183,141,219,110,169,48,58,54,197,89,209,127,191,131,218,128
002SP/184,27,3,8,26,0,13,22,30,15,20,25,23,0,8,0
002SP/206,,,,,0,14,6,4,13,0,0,7,20,8,0
002SP/207,,,,,0,0,30,27,13,14,0,0,13,28,0
002SP/209,,1,,,,0,10,20,22,0,0,7,5,23,1
014CH232W-03B,8,13,17,12,5,10,20,19,10,5,10,12,11,13,8
014CH232W-06B,1,3,2,2,,,1,,1,,,,,,
014CH232W-07B,0,2,4,2,1,0,0,1,0,0,0,0,0,0,0
014CH232W-08B,4,8,7,15,2,4,12,6,9,8,8,5,5,13,4
014CH232W-09B,7,8,6,6,2,3,13,9,10,2,10,10,5,5,7
014CH232W-17B,1,4,11,4,1,2,2,2,5,3,4,0,4,1,1
014CH232W-20NB,,,,,,,1,1,0,1,0,2,0,3,2
014CH232W-35,5,8,3,7,3,1,41,30,17,34,19,6,3,8,3
014CH232W-37,36,57,55,68,16,31,90,66,62,28,53,58,38,58,39
