TF1089-2P SP/183,ソファ,351.4,x
TF1089-3P SP/183,ソファ,375.2,ok
TF1089-0.5P SP/183,オットマン,82.7,ok
TF1089-2P SP/197,ソファ,335.2,x
TF1083-3P+0.5P SN/02, 3P/0.5P 各1pc 肘クッション x 2個 同梱,329.4,ok
CH261KF-3PL+0.5P SP/192 SP/196,クッション部=SP/192 ボディー部=SP/196　スツール同梱 向かって右が広肘,420.0,x
CH261KF-3PL+0.5P SP/192 SN/02,クッション部=SP/192 ボディー部=SN/02　スツール同梱 向かって右が広肘,420.0,x
CHS356-59 SP/192,Head-rest ,22.5,x
CH261-2.5P SP/209 SP/207,クッション部=SP/209 ボディー部=SP/207,317.0,x
CH261-0.5P SP/209 SP/207,クッション部=SP/209 ボディー部=SP/207,79.1,x
CH261KF-3PL+0.5P SP/183,クッション部=SP/183 ボディー部=SP/183　スツール同梱 向かって右が広肘,435.5,x
CH356-59 SP/183,ヘッドレスト,23.3,ok
CH261-0.5P SP/192 SP/207,クッション部=SP/192 ボディー部=SP/207,80.3,x
CHS356-59 SP/192,Head-rest ,22.5,x
CH261KF-3PL+0.5P SP/181 SP/182,クッション部=SP/181 ボディー部=SP/182 スツール同梱 向かって右が広肘,435.5,ok
CHS356-59 SP/181,Head-rest ,23.3,ok
,FREIGHT,,x
