CH271N-08B,マチルダ,160.9,ok
CH271N-09B,マチルダ,160.9,ok
CH351-02B,Fugue-2.5 (351) Nude 2.5P Sofa,184.8,ok
CH351-03B,Fugue-03 (351) Nude 3P Sofa,210.3,ok
CH351-06B,Fugue-06 (351) Nude Sofa,165.4,ok
CH351-07B,Fugue-07 (351) Nude Sofa,165.4,ok
CH351-49B,Fugue-49 (351) Nude Couch,166.3,ok
CH351-50B,Fugue-50 (351) Nude Couch,166.3,ok
CH232W-49 SP/192,レコルタⅡ,188.8,197.1
CH232W-09 SP/192,レコルタⅡ,196.4,204.7
CH271-42 SP/206,マチルダ 2重カバー仕様,230.2,ok
CH271N-50 SP/206,マチルダ,218.5,218.7
CH232W-08 SP/194,レコルタⅡ,196.4,ok
KY001-16 SP/197,シルバ Bed 福岡,230.7,x
KY001-17 SP/197,シルバ Bed 福岡,245.2,x
CH1071N-3P+0.5P SP/206,肘ノックダウン仕様,408.3,ok
CH271-03 SP/197,マチルダ,298.4,ok
CH271-17 SP/197,マチルダ stool,91.9,ok
CH232W-06 SN/03,クッション 大37 ×1 SP/183 ,170.2,ok
CH232W-50 SN/03,レコルタⅡ,179.7,ok
CH232W-35 SP/198,レコルタⅡ,18.0,17.6
CH232W-35 SP/199,レコルタⅡ,18.0,17.6
CH232W-03 SP/207,レコルタⅡ,226.2,247.1
CH271N-50 SP/206,マチルダ,218.5,218.7
CH271-42 SP/206,マチルダ 2重カバー仕様,230.2,ok
CH232W-03 SP/192,レコルタⅡ,229.6,250.5
CH232W-08 SP/192,レコルタⅡ,196.4,ok
T725LEG-DB,Wooden leg col.DB,2.1,ok
T725LEG-NA,Wooden leg col.NA,2.1,ok
SN/02,Fabric only ,5.7,ok
CH232W-35,Cushion（小）,8.6,ok
CH232W-03B,Sofa,166.8,ok
CH232W-06B,Sofa,129.1,ok
CH232W-07B,Sofa,129.1,ok
CH232W-09B,Sofa,140.3,ok
CH232W-49B,Sofa,136.8,ok
CH232W-50B,Sofa,136.8,ok
CH271-03B,マチルダ,218.8,ok
CH271N-08B,マチルダ,160.9,ok
CH271N-09B,マチルダ,160.9,ok
CH271N-49B,マチルダ,158.0,ok
N528-708(03背パッド）,N528-03SE,13.1,ok
N528-705(背クッション35）,N528-35,10.7,ok
N528-706(背クッション36）,N528-36,12.3,ok
N528-707(背クッション37）,N528-37,14.2,ok
N528-700(41/42背パッド）,N528-41/42SE,9.6,ok
N528N-703(41/42座パッド）,N528-41/42ZA,25.9,ok
N528-702,N528-49/50/03ARM,7.0,ok
N528-701(49/50背パッド）,N528-49/50SE,9.7,ok
N528N-704(49/50座パッド）,N528-49/50ZA,26.9,ok
T517-700(08/09/10座パッド）,T517-08/09/10ZA　只有羽毛,16.3,ok
T517-701 S(08/09背パッド　W=910）,T517-10/08/09SE　S　只有羽毛,9.8,ok
T517-706(06/07座パッド),T517-06/07ZA,16.6,ok
T517-707(06/07背パッド),T517-06/07SE,10.6,ok
T517-708(49/50座パッド①),T517-49/50ZA①,13.3,ok
T517-710(49/50背パッド①),T517-49/50SE①,8.7,ok
CH232W-06C SN/01,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-07C SN/01,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-08C SN/01,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-37C SN/01,only cover レコルタⅡ（新仕様）,9.4,ok
CH232W-49C SN/01,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-50C SN/01,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-07C SN/02,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-17C SN/02,only cover レコルタⅡ（新仕様）,18.9,ok
CH232W-35C SN/02,only cover レコルタⅡ（新仕様）,6.9,ok
CH232W-03C SN/03,only cover レコルタⅡ（新仕様）,51.7,ok
CH232W-06C SN/03,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-07C SN/03,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-08C SN/03,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-09C SN/03,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-17C SN/03,only cover レコルタⅡ（新仕様）,18.9,ok
CH232W-50C SP/122N,only cover レコルタⅡ（新仕様）,61.9,ok
CH232W-08C SP/126N,only cover レコルタⅡ（新仕様）,63.5,ok
CH271-03C SN/01,only cover,74.7,ok
CH271-08C SN/01,only cover,59.8,46.3
CH271-09C SN/01,only cover,59.8,46.3
CH271-17C SN/01,only cover,20.0,ok
CH271-49C SN/01,only cover,57.4,ok
CH271-41C SN/01,only cover,43.1,ok
CH271-03C SN/02,only cover,74.7,72.3
CH271-08C SN/02,only cover,59.8,46.3
CH271-09C SN/02,only cover,59.8,46.3
CH271-17C SN/02,only cover,20.0,19.4
CH271-37C SN/02,only cover,11.1,10.7
CH271-49C SN/02,only cover,57.4,ok
CH271-50C SN/02,only cover,57.4,ok
CH271-42C SN/02,only cover,43.1,ok
CH271-08C SN/03,only cover,59.8,46.3
CH271-09C SN/03,only cover,59.8,46.3
CH271-37C SN/03,only cover,11.1,9.4
CH271-49C SN/03,only cover,57.4,ok
CH271-50C SN/03,only cover,57.4,ok
CH271-17C SP/180,only cover,22.9,ok
CH271-35C SP/180,only cover,9.2,ok
CH271-49C SP/180,only cover,66.3,ok
013CH271I-41C SP/180,only cover,61.9,x
CH271-09C SP/181,only cover,69.3,ok
CH271-17C SP/181,only cover,22.9,ok
CH271-49C SP/181,only cover,66.3,ok
CH271-35C SP/182,only cover,9.2,ok
CH271-50C SP/182,only cover,66.3,ok
CH271-08C SP/183,only cover,69.3,ok
CH271-09C SP/183,only cover,69.3,ok
CH271-37C SP/183,only cover,12.7,ok
CH271-49C SP/183,only cover,66.3,ok
CH271-50C SP/183,only cover,66.3,ok
013CH271I-41C SP/183,only cover,61.9,x
013CH271I-42C SP/183,only cover,61.9,x
CH271I-09C SP/184,only cover,69.3,x
CH271-35C SP/184,only cover,9.2,ok
CH1070-3.5PC SN/02,総幅(W):2200mm Cover Only,69.2,ok
CH1070-3.5PC SP/183,総幅(W):2200mm Cover Only,86.5,ok
CH1070-0.5C SN/02,Stool Cover Only,12.4,ok
CH1071N-3P+0.5P SN/01,肘ノックダウン仕様,397.6,ok
CH1071N-3P+0.5P SN/02,肘ノックダウン仕様,397.6,ok
CH1071N-3P+0.5P SN/03,肘ノックダウン仕様,397.6,ok
CH1072-30N SP/209,背ｸｯｼｮﾝ 大1個/小1個,291.1,ok
CH1072-30N SP/207,37クッション1個・35クッション1個 同梱,291.1,ok
CH1072-30N SP/206,37クッション1個・35クッション1個 同梱,291.1,ok
NIC1068N-3PL+0.5P SN/03,37クッション×1・35クッション×2・腰クッション×2・ヘッドレスト×2,434.7,ok
