CH232W-06B,Nude sofa,129.1,ok
CH232W-08B,Nude sofa,140.3,ok
CH232W-09B,Nude sofa,140.3,ok
CH261-3PB+0.5PB,アクロス　ボディ,264.7,ok
CH271-03B,マチルダ,218.8,ok
CH271-17B,マチルダ　Stool ,70.8,ok
CH271N-49B,マチルダ,158.0,ok
CH271-41B,マチルダ,174.9,ok
CH351-03B,Fugue-03 (351) Nude 3P Sofa,210.3,ok
CH351-06B,Fugue-06 (351) Nude Sofa,165.4,ok
CH351-17B,Fugue Nude Stool ,45.2,ok
CH351-50B,Fugue-50 (351) Nude Couch,166.3,ok
N528-708(03背パッド）,N528-03SE,13.1,ok
N528N-709(03座パッド）,N528-03ZA,22.8,ok
N528N-710(17座パッド）,N528-17ZA,12.9,ok
N528-705(背クッション35）,N528-35,10.7,ok
N528-706(背クッション36）,N528-36,12.3,ok
N528-707(背クッション37）,N528-37,14.2,ok
N528-700(41/42背パッド）,N528-41/42SE,9.6,ok
N528N-703(41/42座パッド）,N528-41/42ZA,25.9,ok
N528-702,N528-49/50/03ARM,7.0,ok
N528-701(49/50背パッド）,N528-49/50SE,9.7,ok
N528N-704(49/50座パッド）,N528-49/50ZA,26.9,ok
N528-713(41S/42S背パッド),N528-41S/42SSE,8.1,ok
N528N-714(41S/42S座パッド),N528-41S/42SZA,22.4,ok
T517-700(08/09/10座パッド）,T517-08/09/10ZA　只有羽毛,16.3,ok
T517-701 L(08/09背パッド　W=1120),T517-08/09SE　L　只有羽毛,10.2,ok
T517-708(49/50座パッド①),T517-49/50ZA①,13.3,ok
T517-709(49/50座パッド②),T517-49/50ZA②,18.1,ok
T517-710(49/50背パッド①),T517-49/50SE①,8.7,ok
T517-711(49/50背パッド②),T517-49/50SE②,6.0,ok
T517-712(49/50肘パッド),T517-49/50ARM,6.3,ok
CH261 CENTER LEG 補助脚（木製）,Only assist center leg for (CH261/T523) Sofa,0.8,ok
LEG60PI-DB,Wooden leg 60 diameter col. DB,1.0,ok
LEG60PI-NA,Wooden leg 60 diameter col. NA,1.0,ok
CH232W-03C SN/01,only cover レコルタⅡ（新仕様）,51.7,ok
CH232W-06C SN/01,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-08C SN/01,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-09C SN/01,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-03C SN/02,only cover レコルタⅡ（新仕様）,51.7,ok
CH232W-08C SN/02,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-17C SN/02,only cover レコルタⅡ（新仕様）,18.9,ok
CH232W-50C SN/02,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-06C SN/03,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-07C SN/03,only cover レコルタⅡ（新仕様）,41.1,ok
CH232W-09C SN/03,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-17C SN/03,only cover レコルタⅡ（新仕様）,18.9,ok
CH232W-37C SN/03,only cover レコルタⅡ（新仕様）,9.4,ok
CH232W-49C SN/03,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-37C SP/122N,only cover レコルタⅡ（新仕様）,13.5,ok
CH271-17C SN/01,only cover,20.0,ok
CH271-17C SN/02,only cover,20.0,ok
CH271-03C SN/03,only cover,74.7,ok
CH271-08C SN/03,only cover,59.8,46.3
CH271-17C SN/03,only cover,20.0,ok
CH271-50C SN/03,only cover,57.4,ok
CH271-17C SP/122N,only cover,23.5,ok
CH271-49C SP/122N,only cover,81.5,ok
CH271-09C SP/126N,only cover,88.1,ok
CH271-37C SP/126N,only cover,12.3,ok
CH271-08C SP/180,only cover,69.3,ok
CH271-17C SP/180,only cover,22.9,ok
CH271-41C SP/180,only cover,61.9,ok
CH271-37C SP/181,only cover,12.7,ok
CH271-49C SP/182,only cover,66.3,ok
CH271-08C SP/183,only cover,69.3,ok
CH271-17C SP/183,only cover,22.9,ok
CH271-35C SP/183,only cover,9.2,ok
CH271-37C SP/183,only cover,12.7,ok
CH271-49C SP/183,only cover,66.3,ok
CH271-50C SP/183,only cover,66.3,ok
CH271-41C SP/183,only cover,61.9,ok
CH1069-2PC SP/178,総幅(W):1800mm Cover Only,86.7,ok
CH1070-0.5C SP/178,Stool Cover Only,14.7,ok
CH1070-3.5PC SN/02,総幅(W):2200mm Cover Only,69.2,ok
CH1070-0.5C SN/02,Stool Cover Only,12.4,ok
CH1070-0.5C SP/183,Stool Cover Only,14.7,ok
CH1069-2PB,総幅(W):1800mm,324.2,ok
CH1071N-3P+0.5P SN/02,肘ノックダウン仕様,397.6,ok
CH1069-HR SP/196,Head-rest,20.0,ok
CH271-03 SP/196,マチルダ,298.4,ok
CH271-17 SP/196,マチルダ Stool,91.9,ok
CH271N-49 SP/190,マチルダ,218.7,ok
CH271-41 SP/190,マチルダ,230.2,ok
CH271N-08 SP/192,マチルダ,224.4,223.8
CH271N-50 SP/192,マチルダ,218.7,ok
LH03-20R HSQ9066/06,リビングハウス,269.1,ok
LH03LEG-L 鉄脚(大),リビングハウス,13.1,26.2
LH03-2PL HSQ9066/06,リビングハウス,281.8,ok
CH1071N-3P+0.5P SP/181,肘ノックダウン仕様,423.7,ok
CH232W-08 SP/198,CU37x1付き ,196.4,ok
CH232W-50 SP/198, レコルタⅡ,188.8,193.3
CH1069-59 SP/183,Head-rest,22.7,ok
CH1072-30N SN/02,CU37x1 CU35x1付き,283.6,ok
CH1072-30L SN/02,CU37x1 CU35x1付き,307.0,ok
CHY038-10F SP/192,新規ベッド シングルサイズ,160.7,ok
CHY038-10F SP/197,新規ベッド シングルサイズ,160.7,ok
CH1069-3P SN/03,総幅(W):2000mm,414.9,ok
CH1070-0.5P SN/03,Stool,180.8,ok
CH907-49 SP/126N SP/122N,ロザーナ本体+37クッションはSP/126N CU35はSP/122N,248.2,248.4
CH907-07 SP/126N SP/122N,ロザーナ本体+37クッションはSP/126N CU35はSP/122N,232.9,ok
CH1071N-3P+0.5P SP/180,肘ノックダウン仕様,423.7,ok
CH1071N-3P+0.5P SP/191,肘ノックダウン仕様,408.3,ok
CH1071N-3P+0.5P SP/192,肘ノックダウン仕様,408.3,ok
CH1071N-3P+0.5P SP/192,肘ノックダウン仕様,408.3,ok
CH271N-08 SP/190,マチルダ,224.4,223.8
CH271N-50 SP/190,マチルダ,218.7,ok
CH271-35 SP/195,マチルダ,17.9,ok
CH271-35 SP/196,マチルダ,17.9,ok
CH271-35 SP/198,マチルダ,17.9,ok
CH271-35 SP/199,マチルダ,17.9,ok
CH271-35 SP/199,マチルダ,17.9,ok
CH907-35 SP/122N,クッションのみ SP/126N,13.6,ok
CH271-35 SP/199,マチルダ,17.9,ok
CH271-35 SP/192,マチルダ,17.9,ok
CH271-35 SP/183,CU小,18.4,ok
N528-F,N528　カストール金属脚,11.9,ok
N264-F,N264　フィナンシェ金属脚,13.7,ok
N264-F,N264　フィナンシェ金属脚,13.7,ok
N264-F,N264　フィナンシェ金属脚,13.7,ok
N264-F,N264　フィナンシェ金属脚,13.7,ok
Steel leg for CH1070/CH1069,Steel leg,100.55,x
CH1070-3.5PC+0.5PC SP/183,only cover,101.2,x
YA-TJ05,Sofa Bed FXD BE　（Beige）,74.0,x
YA-TJ05,Sofa Bed FXD BR　（Brown),74.0,x
YA-TJ05,Sofa Bed FXD NV　（Navy),74.0,x
TJ05-1P,Sofa Bed 1P BR　（Brown),58.0,x
TJ05-1P,Sofa Bed 1P BE　（Beige）,58.0,x
TJ05-1P,Sofa Bed 1P GY　（Gray),58.0,x
TJ05-1P,Sofa Bed 1P GN　（Green),58.0,x
