SN/01,Fabric only,5.7,ok
SP/183　10387C-8A,Fabric only,7.8,ok
CH232W-03B,Nude sofa,192.0,166.8
CH232W-08B,Nude sofa,152.9,140.3
CH232W-09B,Nude sofa,152.9,140.3
CH232W-50B,Nude sofa,149.4,136.8
CH261-3PB+0.5PB,アクロス　ボディ,264.7,ok
CH271-35,Cushion（小）　マチルダ,9.2,ok
CH271E-41B,マチルダ E仕様,174.9,ok
CH1070-3.5PB,総幅(W):2200mm,405.2,ok
CHS356-59B,Head-rest nude body,18.1,ok
N528-713(41S/42S背パッド),N528-41S/42SSE,8.1,ok
T517-706(06/07座パッド),T517-06/07ZA,16.6,ok
CH271-35 SP/192,マチルダ,17.9,ok
CH232W-03 SP/180,CU37x2付き,280.7,231.3
CH232W-17 SP/180,スツール,77.3,73.0
CH261-03+17 SP/122N,クッション部、ボディ部共 SP/122N,428.1,x
CH356-59 SP/122N,Head-rest,24.0,x
CH232W-17B,Stool ,54.3,ok
CH271E-42B,マチルダ E仕様,174.9,ok
CH1071N-3P+0.5P SP/207,肘ノックダウン仕様,408.3,ok
CH271LEG DB,Only legs for (CH271) Sofa DB色,1.9,ok
CH271LEG NA,Only legs for (CH271) Sofa NA色,1.9,ok
CH232W-50C SN/01,only cover レコルタⅡ（新仕様）,42.9,ok
CH232W-37C SN/03,only cover レコルタⅡ（新仕様）,9.4,ok
CH271-03C SN/01,only cover,74.7,ok
CH271-17C SN/01,only cover,20.0,ok
CH271-49C SN/03,only cover,57.4,ok
CH271-42C SP/180,only cover,61.9,ok
CH271-49C SP/180,only cover,66.3,ok
CH271-50C SP/180,only cover,66.3,ok
CH271-09C SP/181,only cover,69.3,ok
CH271-17C SP/181,only cover,22.9,ok
CH271-17C SP/183,only cover,22.9,ok
CH271-37C SP/183,only cover,12.7,ok
CH271-49C SP/183,only cover,66.3,ok
CH1070-0.5C SP/183,Stool Cover Only,14.7,ok
CH232W-03C SN/02,only cover レコルタⅡ（新仕様）,51.7,ok
CH232W-03C SN/03,only cover レコルタⅡ（新仕様）,51.7,ok
CH232W-09C SN/03,only cover レコルタⅡ（新仕様）,46.3,ok
CH232W-17C SN/03,only cover レコルタⅡ（新仕様）,18.9,ok
CH271-50C SN/02,only cover,57.4,ok
CH271-08C SN/03,only cover,59.8,46.3
CH271-49C SN/03,only cover,57.4,ok
CH271-37C SP/180,only cover,12.7,ok
CH271-08C SP/181,only cover,69.3,ok
CH271-35C SP/181,only cover,9.2,ok
CH271-37C SP/181,only cover,12.7,ok
CH271-17C SP/183,only cover,22.9,ok
CH271-49C SP/183,only cover,66.3,ok
N528-713(41S/42S背パッド),N528-41S/42SSE,8.1,ok
T517-708(49/50座パッド①),T517-49/50ZA①,13.3,ok
T517-709(49/50座パッド②),T517-49/50ZA②,18.1,ok
Item,Description,"U.Price
(USD)",x
CH1070-17B用合皮部分の縫製品,[CH1070-17B用部材],2.5,x
CH1070-17B用梱包段ボール,[CH1070-17B用部材],5.0,x
CH1070-17B用スチール脚,CH1070-17B用スチール脚,40.65,x
CH271E-09 SP/183,マチルダ,230.2,ok
CH271E-49 SP/183,マチルダ,224.3,ok
CH271-37 SP/183,マチルダ,29.8,ok
CH271-17クッション部,[CH271-17B用部材],23.5,x
CH351-50 用座クッションと背クッション,[CH351-50B用部材],55.0,x
CH907-06用 梱包ダンボール,[CH907-06B用部材],10.0,x
CH351-03用 梱包ダンボール,[CH351-03B用部材],9.2,x
CH271-08用 背ウレタン,[CH271-08用部材],3.5,x
CH271-09用 背ウレタン,[CH271-09用部材],3.5,x
CH1069-02 フレーム本体座前のスチール部分,[CH1069-02用部材],7.0,x
CH1069-03 フレーム本体座前のスチール部分,[CH1069-03用部材],7.1,x
座カバー+背部分縫製品カバー,[CW-723LNB6N （革張込本体) 用部材],200.0,x
,円いフェルト,0.01,x
,四角いフェルト,0.01,x
CH1071N-3P+0.5P用木脚,木脚,20.6,x
CH261-3P用木脚,木脚,7.5,x
CH261-0.5P用木脚,木脚,6.0,x
CH351用木脚,木脚,6.0,x
