CH1104-3P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,280.0,x
CH1104-2.5P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,270.0,x
CH1104-3P BW SN/45,クッション部+ボディー部共=SN/45,273.9,x
CH1104-2.5P BW SN/45,クッション部+ボディー部共=SN/45,265.0,x
CH1104-HR SN/56,ヘッドレスト,18.5,ok
NF-50 SN/42,ナフコ　NFチョイス,16.8,x
NF-50 SN/19,ナフコ　NFチョイス,16.8,x
NF-50 SN/45,ナフコ　NFチョイス,16.8,x
CH1104-2.5P BW SN/01 SP/181,クッション部=SN/01 ボディー部=SP/181,289.0,x
CH1104-HR SN/01,ヘッドレスト,17.4,18.5
CH1104-3P BW SP/172 SP/176,クッション部=SP/172 ボディー部=SP/176,309.0,x
CH1104-0.5P BW SP/172 SP/176,クッション部=SP/172 ボディー部=SP/176,79.0,x
CH1104-3P BW SP/198,クッション部=SP/198 ボディー部=SP/198,304.0,x
CH1104-0.5P BW SP/198,クッション部=SP/198 ボディー部=SP/198,78.0,x
CH1104-HR SP/198,ヘッドレスト,19.5,x
