CH232W-03B,Nude sofa,192.0,166.8
CH271E-03B,マチルダ,218.8,ok
CH271E-08B,マチルダ,160.9,ok
CH271E-09B,マチルダ,160.9,ok
CH271E-17B,マチルダ　Stool ,70.8,ok
CH271E-42B,マチルダ,174.9,ok
CH271E-49B,マチルダ,158.0,ok
CH271E-50B,マチルダ,158.0,ok
CH1070-3PB,総幅(W):1900mm,388.3,ok
CH1070-0.5PB,Stool,170.4,ok
CH1071E-3P+0.5P SN/03,肘ノックダウン仕様,397.6,ok
CH1072-30R SP/206,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CH1072-30N SP/209,背ｸｯｼｮﾝ 大1個/小1個,291.1,ok
CH1072-30L SP/209,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CH1072-30R SP/209,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CH1069-59 SP/183,Head-rest,22.7,ok
LH03LEG-S 鉄脚(小),リビングハウス,13.1,26.2
CH271E-17 SP/176,マチルダ stool,93.7,92.0
CH271E-49 SP/176,マチルダ,222.2,220.8
CH271E-41 SP/176,マチルダ,236.8,ok
CH271-35 SP/176,マチルダ,18.4,ok
CH271E-03 SP/207,マチルダ,294.0,309.3
CH271E-17 SP/207,マチルダ Stool,90.9,90.8
CH271E-09 SP/207,マチルダ,223.8,ok
CH271E-49 SP/207,マチルダ,218.5,ok
CH271E-03 SP/196,マチルダ,298.4,ok
CH271E-17 SP/196,マチルダ Stool,91.9,ok
CH271E-41 SP/209,マチルダ,230.2,ok
CH271E-08 SP/206,マチルダ,223.8,224.4
CH271E-50 SP/206,マチルダ,218.5,ok
CH271E-08 SP/199,マチルダ,224.4,223.8
CH271E-50 SP/199,マチルダ,218.7,ok
CH271E-50 SP/178,マチルダ,222.2,220.8
CH271E-42 SP/178,マチルダ 2重カバー仕様,236.8,ok
LH03-2PL HSQ9053Z/03,リビングハウス,297.1,ok
LH03LEG-L 鉄脚(大),リビングハウス,13.1,26.2
CH271E-42 SP/178,マチルダ 2重カバー仕様,236.8,ok
CH271E-50 SP/178,マチルダ,222.2,220.8
CH271E-17 SP/178,マチルダ Stool,93.7,92.0
CH271E-41B,マチルダ,174.9,ok
CH271E-42B,マチルダ,174.9,ok
CH1071E-3P+0.5P SN/01,肘ノックダウン仕様,397.6,ok
CH1072-30N SP/206,背ｸｯｼｮﾝ 大1個/小1個,291.1,ok
CH1072-30R SP/206,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CH1071E-3P+0.5P SP/178,肘ノックダウン仕様,423.7,ok
CH1071E-0.5P DB SN/03,Stool,82.6,x
CH1072-30R SP/192,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CH1071E-3P+0.5P SP/209,肘ノックダウン仕様,408.3,ok
CH1070-3P SP/206,総幅(W):1900mm,451.1,ok
CH1071E-3P+0.5P SP/176,肘ノックダウン仕様,423.7,ok
CH271LEG DB,Only legs for (CH271) Sofa DB色,1.9,ok
CH271LEG DB,Only legs for (CH271) Sofa DB色,1.9,ok
CH271LEG NA,Only legs for (CH271) Sofa NA色,1.9,ok
CH271E-50B,マチルダ,158.0,ok
CH1092-FS台輪,台輪,16.6,x
