CH232W-03B,Nude sofa,192.0,166.8
CH232W-49B,Nude sofa,149.4,136.8
CH232W-50B,Nude sofa,149.4,136.8
CH261-3PB+0.5PB,アクロス　ボディ,264.7,ok
CH271E-08B,マチルダ,160.9,ok
CH1070-3PB,総幅(W):1900mm,388.3,ok
CH1070-3.5PB,総幅(W):2200mm,405.2,ok
CH1071E-3P+0.5P SN/03,肘ノックダウン仕様,397.6,ok
CH1072-30R SP/209,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CHY038-10F SN/03,新規ベッド シングルサイズ,154.5,ok
LH03-0.6P HSQ9053Z/03,リビングハウス,165.4,ok
CH1082N-3P+0.5 SP/209,CU37x1 CU35x2 肘CUx2 付,403.7,ok
CH1071E-3P+0.5P SP/192,肘ノックダウン仕様,408.3,ok
TF1083-3P+0.5P SP/206,3P/0.5P 各1pc 肘クッション x 2個 同梱,374.4,ok
TF1083-3P+0.5P SP/206,3P/0.5P 各1pc 肘クッション x 2個 同梱,374.4,ok
CH271-17 座CUのみ SP/183,マチルダ stool,40.3,x
CH232W-08用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,152.9,x
CH232W-20N用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,148.5,x
CH232W-03用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,192.0,x
CH232W-17用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,54.3,x
CH271E-08用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,160.9,x
CH271E-41用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,174.9,x
CH351-06用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,165.4,x
CH351-49用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,166.3,x
CH351-02用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,184.8,x
CH351-03用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,210.3,x
CH351-17用木枠含む全部材,ソファ1台を仕上げて製品として出荷できる部材一式,45.2,x
CH271E-08B,マチルダ,160.9,ok
CH1071E-3P+0.5P SP/199,肘ノックダウン仕様,408.3,ok
CH271E-03B,マチルダ,218.8,ok
CH1071E-3P+0.5P SN/01,肘ノックダウン仕様,397.6,ok
,326EN 2ｼｰﾀｰ・たっぷりﾌｪｻﾞｰ背ｸｯｼｮﾝ,14.3,x
,326EN 2ｼｰﾀｰ・たっぷりﾌｪｻﾞｰ座ｸｯｼｮﾝ,23.1,x
,326EN 2.5ｼｰﾀｰ・たっぷりﾌｪｻﾞｰ座ｸｯｼｮﾝ,26.1,x
N528-702,N528-49/50/03ARM,7.0,ok
N528-701(49/50背パッド）,N528-49/50SE,9.7,ok
SN/03,Fabric only,5.7,ok
SP/207,Fabric only,6.5,0.07
CH232W-37C SN/03,only cover レコルタⅡ（新仕様）,9.1,9.4
CH271-03C SN/02,only cover,72.1,74.7
CH271-09C SN/02,only cover,57.7,59.8
CH271-37C SN/02,only cover,10.7,11.1
CH271-41C SN/02,only cover,41.6,43.1
CH271-42C SN/02,only cover,41.6,43.1
CH271-49C SN/02,only cover,55.4,57.4
CH271-50C SN/02,only cover,55.4,57.4
CH271-08C SN/03,only cover,57.7,46.3
CH271-09C SN/03,only cover,57.7,46.3
CH271-37C SN/03,only cover,10.7,11.1
CH271-49C SN/03,only cover,55.4,57.4
CH271-50C SN/03,only cover,55.4,57.4
CH271-17C SP/180,only cover,22.9,ok
CH271-37C SP/180,only cover,12.7,ok
CH271-42C SP/180,only cover,61.9,ok
CH271-50C SP/180,only cover,66.3,ok
CH271-17C SP/183,only cover,22.9,ok
CH271-37C SP/183,only cover,12.7,ok
CH1070-3.5PC SN/02,総幅(W):2200mm Cover Only,66.8,69.2
CH1070-3.5PC SN/03,総幅(W):2200mm Cover Only,66.8,69.2
CH1070-3.5PC SP/183,総幅(W):2200mm Cover Only,86.5,ok
LH03-20LC HSQ9053Z/14,リビングハウス Only Cover,114.0,ok
LH03-2PRC HSQ9053Z/14,only cover リビングハウス,117.8,ok
CH271-50C SP/183,only cover,66.3,ok
CH271-37C SP/181,only cover,12.7,ok
CH271-49C SP/181,only cover,66.3,ok
CH232W-03C SN/03,only cover レコルタⅡ（新仕様）,51.7,ok
CH232W-03C SN/03,only cover レコルタⅡ（新仕様）,49.9,51.7
CH271-49C SN/01,only cover,57.4,ok
CH232W-17C SN/01,only cover レコルタⅡ（新仕様）,18.9,ok
CH232W-03C SN/03,only cover レコルタⅡ（新仕様）,51.7,ok
CH271-03C SN/01,only cover,74.7,ok
