CH1104-3P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,280.0,x
CH1104-3P BW SP/178,クッション部+ボディー部共=SP/178,309.0,x
CH1104-HR SP/178,ヘッドレスト,20.0,x
CH1104-2.5P BW SP/197,クッション部+ボディー部共=SP/197,282.0,x
CH1104-2.5P BW SN/01,クッション部+ボディー部共=SN/45,270.0,x
CH1104-HR SN/01,ヘッドレスト,18.5,ok
CH1122-11R SP/191,ナフコ　NFチョイス,141.0,x
CH1122-11L SP/191,ナフコ　NFチョイス,141.0,x
CH1122-1N SP/191,ナフコ　NFチョイス,133.5,x
CH1122-0.5P SP/195,ナフコ　NFチョイス,90.0,x
NF-50 SP/191,ナフコ　NFチョイス,18.9,x
NF-50 SP/195,ナフコ　NFチョイス,18.9,x
CH1104-3P BW SN/03,クッション部+ボディー部共=SN/03,280.0,x
CH1104-2.5PC SP/192,クッション部+ボディー部共=SP/192,52.4,x
CH1104-HRC SP/192,ヘッドレスト,7.4,x
CH1104-2.5PC SN/45,クッション部+ボディー部共=SN/45,35.8,x
CH1104-2.5P BW S9/192 SP/183,クッション部=SP/192 ボディー部=SP/183,289.0,x
,FREIGHT,,x
