SP/206,Fabric only,6.5,0.07
CH232W-17B,Stool,54.3,ok
CH271E-03B,マチルダ,218.8,ok
CH271E-08B,マチルダ,160.9,ok
CH271E-17B,マチルダ　Stool ,70.8,ok
CH271E-41B,マチルダ,174.9,ok
CH271E-42B,マチルダ,174.9,ok
CH271E-49B,マチルダ,158.0,ok
CH271E-50B,マチルダ,158.0,ok
CH351-06B,Fugue-06 (351) Nude Sofa,165.4,ok
CH351-07B,Fugue-07 (351) Nude Sofa,165.4,ok
CH351-49B,Fugue-49 (351) Nude Couch,166.3,ok
CH351-50B,Fugue-50 (351) Nude Couch,166.3,ok
CHS356-59B,Head-rest nude body,18.1,ok
CH1071E-3P+0.5P SN/01,肘ノックダウン仕様,397.6,ok
CH1071E-3P+0.5P SN/03,肘ノックダウン仕様,397.6,ok
CH1072-30L SP/207,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CH1072-30N SP/209,背ｸｯｼｮﾝ 大1個/小1個,291.1,ok
CH1072-30L SP/209,背ｸｯｼｮﾝ 大1個/小1個,315.3,ok
CH1069-3P SN/02,総幅(W):2000mm,414.9,ok
CH271E-08 SP/190,マチルダ,224.4,223.8
CH271E-50 SP/190,マチルダ,218.7,ok
CH271-35 SP/184,CU小,18.4,ok
CH271E-08 SP/178,マチルダ,228.6,226.3
CH271E-50 SP/178,マチルダ,222.2,220.8
CH271E-09 SP/196,マチルダ,224.4,ok
CH271E-49 SP/196,マチルダ,218.7,ok
CH271E-08 SP/206,マチルダ,223.8,224.4
CH271E-50 SP/206,マチルダ,218.5,ok
CH1070-3.5P SP/181,総幅(W):2200mm,486.6,ok
CH271E-03 SP/197,マチルダ,298.4,ok
CH271E-03 SP/209,マチルダ,294.0,309.3
CH271E-17 SP/209,マチルダ stool,90.9,90.8
TF943B-03 SP/192,腰クッション無し 脚色=DB,310.1,x
TF943B-0.5P DB SP/192,クッション部=SP/192 本体部＝SP/192,68.5,x
CH1071E-3P+0.5P SP/172,肘ノックダウン仕様,423.7,ok
CH271E-49 SP/207,マチルダ,218.5,ok
CH271E-41 SP/207,マチルダ,230.2,ok
CH1072-30R SP/198,CU37x1 CU35x1付き,315.3,ok
CH1072-30N SP/198,CU37x1 CU35x1付き,291.1,ok
TF943B-11L SP/184,腰クッションなし DB脚同梱,242.2,222.2
TF943B-20R SP/184,腰クッションなし DB脚同梱,250.2,ok
CH271E-50 SP/199,マチルダ,218.7,ok
