CH1104-0.5P BW SP/191 SP/198,クッション部=SP/191 ボディー部=SP/198,78.0,x
CH1104-3P BW SP/191 SP/198,クッション部=SP/191 ボディー部=SP/198,304.0,x
CH1104-3P BW SP/196 SP/182,クッション部=SP/196 ボディー部=SP/182,312.0,x
CH1104-2.5P BW SP/172,クッション部+ボディー部共=SP/172,287.0,x
CH1104-HR SP/183,ヘッドレスト,20.0,x
CH1104-0.5P BW SN/03,クッション部、ボディー部共、SN/03,75.5,x
CH1104-3P BW SN/03,クッション部+ボディー部共=SN/03,280.0,x
CH1104-0.5P BW SP/192 SP/183,クッション部=SP/182 ボディー部=SP/183,80.0,x
CH1104-2.5P BW S9/192 SP/183,クッション部=SP/192 ボディー部=SP/183,289.0,x
CH1104-0.5P BW SP/176,クッション部、ボディー部共=SP/176,79.0,x
CH1104-HR SP/176,ヘッドレスト,20.0,x
CH1104-3P BW SP/176,クッション部+ボディー部共=SP/176,309.0,x
CH1104-HR SP/181,ヘッドレスト,20.0,x
CH1104-0.5P BW SP/181 SP/182,クッション部=SP/181 ボディー部=SP/182,80.0,x
CH1104-2.5P BW SP/181 SP/182,クッション部=SP/181 ボディー部=SP/182,289.0,x
CH1104-0.5PC SN/19,クッション部、ボディー部共=SN/19,11.7,x
CH1104-3PC SN/19,クッション部、ボディー部共=SN/19,42.1,x
CH1122-1N SN/45,ナフコ　NFチョイス,122.4,x
CH1122-11L SN/45,ナフコ　NFチョイス,132.4,x
CH1104-HR SN/45,ヘッドレスト,18.0,x
CH1104-0.5P BW SN/45 SN/50,クッション部=SN/45 ボディー部=SN/50,75.5,x
CH1104-3P BW SN/45 SN/50,クッション部=SN/45 ボディー部=SN/50,280.0,x
CH1104-2.5P BW  SN/19 SN/42,クッション部=SN/19 ボディー部=SN/42,265.0,x
CH1104-3P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,280.0,x
CH1104-2.5P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,270.0,x
CH1104-3P BW SN/45,クッション部+ボディー部共=SN/45,273.9,x
CH1104-0.5P BW SN/45,クッション部+ボディー部共=SN/45,73.5,x
CH1104-HR SN/45,ヘッドレスト,18.0,x
CH1122-1N SN/42,ナフコ　NFチョイス,122.4,x
CH1122-1N SN/19,ナフコ　NFチョイス,122.4,x
NF-50 SP/181,ナフコ　NFチョイス,19.8,x
CH1122-0.5P SP/181,ナフコ　NFチョイス,92.0,x
CH1122-1N SP/182,ナフコ　NFチョイス,137.0,x
CH1122-11R SP/182,ナフコ　NFチョイス,145.0,x
