CH232W-17B,Stool,54.3,ok
CH261-2.5PB,アクロス　ボディ,219.3,ok
CH261-3PB+0.5PB,アクロス　ボディ,264.7,ok
CH271E-03B,マチルダ,218.8,ok
CH271E-08B,マチルダ,160.9,ok
CH271E-09B,マチルダ,160.9,ok
CH271E-17B,マチルダ　Stool ,70.8,ok
CH271E-42B,マチルダ,174.9,ok
CH271E-49B,マチルダ,158.0,ok
CH271E-50B,マチルダ,158.0,ok
CH351-02B,Fugue-2.5 (351) Nude 2.5P Sofa,184.8,ok
CH351-03B,Fugue-03 (351) Nude 3P Sofa,210.3,ok
CH351-06B,Fugue-06 (351) Nude Sofa,165.4,ok
CH351-07B,Fugue-07 (351) Nude Sofa,165.4,ok
CH351-17B,Fugue Nude Stool ,45.2,ok
CH351-49B,Fugue-49 (351) Nude Couch,166.3,ok
CH351-50B,Fugue-50 (351) Nude Couch,166.3,ok
CHS356-59B,Head-rest nude body,18.1,ok
CH261-03+17 SP/196,クッション部、ボディ部共 SP/196,386.7,ok
CH271E-50 SP/183,マチルダ,224.3,225.9
CHS356-59 SP/196,Head-rest ,22.5,ok
N528-F,N528　カストール金属脚,11.9,ok
T565-L,アルミ脚,9.3,x
CH271E-50 SP/207,マチルダ,218.5,ok
CH271E-42 SP/207,マチルダ 2重カバー仕様,230.2,ok
CH1072-30L SP/196,CU37x1 CU35x1付き,315.3,ok
CH271E-09 SP/198,マチルダ,224.4,ok
CH271E-49 SP/198,マチルダ,218.7,ok
CH1070-3P SP/199,総幅(W):1900mm,451.1,ok
CH1092-0.6P SP/192,別製品,87.2,x
TF943B-20L SP/183,腰クッションなし DB脚同梱,250.2,ok
TF943B-11R SP/183,腰クッションなし DB脚同梱,242.2,222.2
N264-F,N264　フィナンシェ金属脚,13.7,ok
N264-F,N264　フィナンシェ金属脚,13.7,ok
N264-F,N264　フィナンシェ金属脚,13.7,ok
MAN-3M-W77LNB61,アナベル,580.5,ok
MAN-3M-W79LNB61,アナベル,580.5,ok
T565-G,鉄脚,11.0,x
T565-L,アルミ脚,9.3,x
YA-TJ05,Sofa Bed FXD BE　（Beige）,74.0,x
YA-TJ05,Sofa Bed FXD GN　（Green),74.0,x
YA-TJ05,Sofa Bed FXD NV　（Navy),74.0,x
YA-TJ05,Sofa Bed FXD PI　（Pink),74.0,x
Item,Description,"U.Price
(USD)",x
CH1092-1NC SP/183,Libera [ONLY COVER],28.9,x
CH1092-FSC SP/183,Libera [ONLY COVER],17.8,x
CH1092-YDC SP/183,Libera [ONLY COVER],11.9,x
CH1092-0.5PC SP/183,Libera [ONLY COVER],17.1,x
N264-F,N264　フィナンシェ金属脚,13.7,ok
