CH1104-3P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,280.0,x
CH1104-2.5P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,270.0,x
CH1104-HR SN/56,ヘッドレスト,18.5,ok
CH1122-11R SN/19,ナフコ　NFチョイス,132.4,x
CH1122-11L SN/19,ナフコ　NFチョイス,132.4,x
CH1122-1N SN/42,ナフコ　NFチョイス,122.4,x
CH1122-1N SN/19,ナフコ　NFチョイス,122.4,x
CH1122-0.5P SN/19,ナフコ　NFチョイス,86.0,x
CH1122-1N SP/184,ナフコ　NFチョイス,137.0,x
CH1122-0.5P SP/184,ナフコ　NFチョイス,92.0,x
CH1104-3P BW SP/198,クッション部=SP/198 ボディー部=SP/198,304.0,x
CH1104-0.5P BW SP/198,クッション部=SP/198 ボディー部=SP/198,78.0,x
CH1104-HR SP/198,ヘッドレスト,19.5,x
CH1104-HR SP/191,ヘッドレスト,19.5,x
CH1104-2.5PC SN/56 SN/50,"クッション部=SN/56, ボディー部=SN/50",40.3,x
CH1104-2.5P BW S9/191 SP/196,クッション部=SP/191 ボディー部=SP/196,282.0,x
CH1104-0.5P BW SP/191 SP/196,クッション部=SP/191 ボディー部=SP/196,78.0,x
CH1104-HR SP/191,ヘッドレスト,19.5,x
CH1104-2.5P BW SP/182,"クッション部,ボディー部共=SP/182",289.0,x
Item,Description,"U.Price
(USD)",x
CH1104-3P BW SN/56 SN/50,クッション部=SN/56 ボディー部=SN/50,280.0,x
