FS232-09 SN/03,JUC000008543,2020/06/03,2020/08/18,3,FS232   0000002
FS232-08 SN/03,JUC000008543,2020/06/03,2020/08/18,8,FS232   0000001
FS232-49 SN/03,JUC000008543,2020/06/03,2020/08/18,3,FS232   0000003
FS232-50 SN/03,JUC000008543,2020/06/03,2020/08/18,8,FS232   0000004
CH271E-03 SP/192,JUC000009269,2020/06/03,2020/09/08,1,CH271   0001597
CH271E-17 SP/192,JUC000009269,2020/06/03,2020/09/08,1,CH271   0001598
CH271-37 SP/192,JUC000009269,2020/06/03,2020/09/08,2,CH271   0000873
LH03-06 SP/209,JUC000009336,2020/06/05,2020/08/07,1,LH03    0000156
CH271-35 SP/197,JUC000009365,2020/06/08,2020/07/30,3,CH271   0000981
LH03-06 SP/207,JUC000009375,2020/06/08,2020/07/25,1,LH03    0000140
LH03-731 SP/207,JUC000009375,2020/06/08,2020/07/25,1,LH03    0000139
CH1104-3P BW SN/56 SN/50,JUC000009378,2020/06/08,2020/07/17,23,CH1104  0000001
CH1104-2.5P BW SN/56 SN/50,JUC000009378,2020/06/08,2020/07/17,15,CH1104  0000004
CH1104-3P BW SN/45,JUC000009378,2020/06/08,2020/07/17,7,CH1104  0000010
CH1104-2.5P BW SN/45,JUC000009378,2020/06/08,2020/07/17,14,CH1104  0000011
CH1104-59 SN/56,JUC000009378,2020/06/08,2020/07/17,20,CH1104  0000003
NF-50 SN/42,JUC000009379,2020/06/08,2020/07/17,30,NF      0000002
NF-50 SN/19,JUC000009379,2020/06/08,2020/07/17,30,NF      0000004
NF-50 SN/45,JUC000009379,2020/06/08,2020/07/17,20,NF      0000003
CH1104-2.5P BW SN/01 SP/181,JUC000009381,2020/06/08,2020/07/17,1,CH1104  0000020
CH1104-59 SN/01,JUC000009381,2020/06/08,2020/07/17,2,CH1104  0000008
NF-50 SN/45,JUC000009385,2020/06/08,2020/06/17,1,NF      0000003
CH1070-03L SP/207,JUC000009386,2020/06/08,2020/07/30,1,CH1070  0000062
CH1070-17 SP/207,JUC000009386,2020/06/08,2020/07/30,1,CH1070  0000055
CH271E-41 SP/172,JUC000009391,2020/06/08,2020/07/30,1,CH271   0001600
CH271E-49 SP/172,JUC000009391,2020/06/08,2020/07/30,1,CH271   0001601
CH271-37 SP/172,JUC000009391,2020/06/08,2020/07/30,2,CH271   0000923
CH271E-17 SP/172,JUC000009391,2020/06/08,2020/07/30,1,CH271   0001602
CH271E-09 SP/198,JUC000009398,2020/06/08,2020/07/30,1,CH271   0001603
CH271E-49 SP/198,JUC000009398,2020/06/08,2020/07/30,1,CH271   0001604
CH271-37 SP/198,JUC000009398,2020/06/08,2020/07/30,2,CH271   0000899
CH232W-08 SP/197,JUC000009408,2020/06/08,2020/07/25,2,CH232   0001518
CH232W-37 SP/197,JUC000009408,2020/06/08,2020/07/25,2,CH232   0001388
CH232W-37 SP/197,JUC000009408,2020/06/08,2020/07/25,1,CH232   0001388
CH232W-08C SN/03,JUC000009408,2020/06/08,2020/07/25,2,CH232   0001621
CH232W-37C SN/03,JUC000009408,2020/06/08,2020/07/25,3,CH232   0001622
CH232W-09C SP/181,JUC000009414,2020/06/08,2020/07/25,1,CH232   0001761
CH232W-03C SP/181,JUC000009414,2020/06/08,2020/07/25,1,CH232   0001762
CH232W-37C SP/181,JUC000009414,2020/06/08,2020/07/25,4,CH232   0001763
CH1072-20SET SP/183,JUC000009416,2020/06/08,2020/09/15,1,CH1072  0000049
CH1072-32LSET SP/183,JUC000009416,2020/06/08,2020/09/15,1,CH1072  0000062
CH271E-42 SP/195,JUC000009420,2020/06/08,2020/07/30,1,CH271   0001605
CH271E-50 SP/195,JUC000009420,2020/06/08,2020/07/30,1,CH271   0001606
CH271-37 SP/195,JUC000009420,2020/06/08,2020/07/30,2,CH271   0001164
CH271-35 SP/195,JUC000009420,2020/06/08,2020/07/30,1,CH271   0000859
CH271E-09 SP/209,JUC000009421,2020/06/08,2020/07/30,1,CH271   0001607
CH271E-49 SP/209,JUC000009421,2020/06/08,2020/07/30,1,CH271   0001404
CH271-37 SP/209,JUC000009421,2020/06/08,2020/07/30,2,CH271   0000877
TF943B-06 DB SP/209,JUC000009426,2020/06/08,2020/07/25,1,TF943B  0000126
TF943B-50 DB SP/209,JUC000009426,2020/06/08,2020/07/25,1,TF943B  0000127
CH271E-49 SP/194,JUC000009445,2020/06/08,2020/07/30,1,CH271   0001614
CH271-37 SP/194,JUC000009445,2020/06/08,2020/07/30,1,CH271   0001020
CH271E-17 SP/194,JUC000009445,2020/06/08,2020/07/30,1,CH271   0001615
CH271E-08 SP/172,JUC000009450,2020/06/08,2020/07/25,1,CH271   0001619
