,2019-12-25,2020-01-08,2020-01-10,2020-01-22,2020-01-31,2020-02-05,2020-02-07,2020-02-21,2020-02-28
002SN/02,,,,,,,,,50.0
002SP/122N,,,50.0,,,,,,
002SP/126N,47.8,45.4,,,50.0,,,,
002SP/180,,,50.0,,,,,,
002SP/183,93.0,,,,100.0,,,100.0,
013CH1069-02C SP/176,,,,2.0,,,,,
013CH1069-02C SP/178,,,,,,,1.0,,
013CH1069-03C SP/178,,,,,,,,,2.0
013CH1069-03C SP/197,2.0,,,1.0,,,,,
013CH1069-59C SP/197,,,,1.0,,,,,
013CH1069-59C SP/198,,,,1.0,,,,,
013CH1070-03C SN/02,,,,,2.0,,,3.0,1.0
013CH1070-03C SN/03,,,,,1.0,,,,
013CH1070-03C SP/180,,,,,1.0,,,,
013CH1070-03C SP/183,,,1.0,2.0,2.0,,5.0,,
013CH1070-03LC SN/02,,,,,2.0,,1.0,2.0,2.0
013CH1070-03LC SN/03,,,,,1.0,,,,
013CH1070-03LC SP/183,,,,4.0,10.0,,,2.0,3.0
013CH1070-17C SN/02,,,,,2.0,,,1.0,2.0
013CH1070-17C SN/03,,,,,1.0,,,,
013CH1070-17C SP/180,,,,,1.0,,,,
013CH1070-17C SP/183,2.0,,,2.0,1.0,,1.0,,2.0
013CH1070-17C SP/197,1.0,,,,,,,,
013CH232W-37C SN/01,,,,,,,,,10.0
013CH232W-37C SN/02,,,,,,,,,10.0
013CH232W-37C SN/03,,,20.0,,3.0,,10.0,,
013CH232WI-03C SN/01,1.0,,,,2.0,,,,1.0
013CH232WI-03C SN/02,,,,,,,,,1.0
013CH232WI-03C SN/03,1.0,,1.0,3.0,4.0,,3.0,,
013CH232WI-06C SN/01,1.0,,,,,,,,
013CH232WI-08C SN/01,,,,,1.0,,,,
013CH232WI-08C SN/02,,,2.0,,,,,,
013CH232WI-08C SN/03,1.0,,,2.0,1.0,,,,2.0
013CH232WI-09C SN/01,,,,,1.0,,,,1.0
013CH232WI-09C SN/03,,,,1.0,3.0,,,,
013CH232WI-17C SN/01,,,,,1.0,,,,
013CH232WI-17C SN/02,,,1.0,,,,,,
013CH232WI-49C SN/03,,,,1.0,1.0,,,,
013CH232WI-50C SN/02,,,1.0,,,,,,
013CH232WI-50C SN/03,,,1.0,,2.0,,,,2.0
013CH271-35C SN/02,,,10.0,,,,,,
013CH271-35C SP/180,,,10.0,,,,,,
013CH271-37C SN/01,,,,,10.0,,,,
013CH271-37C SN/02,,,10.0,,,,,,
013CH271-37C SN/03,,,10.0,10.0,10.0,,,10.0,
013CH271-37C SP/180,,,,,,,10.0,,
013CH271-37C SP/181,,,10.0,,,,,,
013CH271-37C SP/182,,,,5.0,,,,,
013CH271-37C SP/183,10.0,,,,40.0,,10.0,,30.0
013CH271I-03C SN/01,,,,,1.0,,,,
013CH271I-03C SN/03,,,,1.0,1.0,,,,
013CH271I-03C SP/182,,,,,,,,1.0,1.0
013CH271I-03C SP/183,,,,2.0,4.0,,1.0,,3.0
013CH271I-08C SN/01,,,,,,,,,1.0
013CH271I-08C SN/02,,,1.0,,,,,,
013CH271I-08C SN/03,,,,3.0,1.0,,1.0,,1.0
013CH271I-08C SP/181,,,4.0,,,,,1.0,
013CH271I-08C SP/183,,,,2.0,12.0,,1.0,,12.0
013CH271I-09C SN/01,1.0,,,,1.0,,,,
013CH271I-09C SN/02,,,,,1.0,,,1.0,
013CH271I-09C SN/03,,,,1.0,1.0,,,1.0,1.0
013CH271I-09C SP/180,,,,,,,,,1.0
013CH271I-09C SP/183,,,,,10.0,,,1.0,10.0
013CH271I-17C SN/01,1.0,,,,2.0,,1.0,,
013CH271I-17C SN/03,,,,1.0,1.0,,,,
013CH271I-17C SP/181,,,4.0,,,,,,
013CH271I-17C SP/182,1.0,,1.0,1.0,,,,,
013CH271I-17C SP/183,,,,2.0,4.0,,2.0,,5.0
013CH271I-41C SN/02,1.0,,,,,,,,
013CH271I-41C SN/03,,,,1.0,1.0,,,,
013CH271I-41C SP/180,1.0,,,,,,,1.0,
013CH271I-41C SP/181,,,,,,,,,1.0
013CH271I-41C SP/183,,,,,1.0,,,1.0,
013CH271I-42C SN/02,,,1.0,1.0,,,,,
013CH271I-42C SN/03,,,2.0,1.0,1.0,,,1.0,1.0
013CH271I-42C SP/180,1.0,,,1.0,1.0,,,1.0,
013CH271I-42C SP/183,1.0,,,1.0,1.0,,,3.0,
013CH271I-49C SN/01,,,,,3.0,,,,
013CH271I-49C SN/02,,,,3.0,1.0,,,1.0,
013CH271I-49C SN/03,,,,2.0,1.0,,1.0,,1.0
013CH271I-49C SP/180,1.0,,,,,,1.0,,1.0
013CH271I-49C SP/181,,,,,,,,,3.0
013CH271I-49C SP/183,,,,4.0,10.0,,1.0,1.0,
013CH271I-50C SN/01,,,,,,,1.0,,2.0
013CH271I-50C SN/02,2.0,,2.0,,,,,,
013CH271I-50C SN/03,3.0,,1.0,2.0,1.0,,,,2.0
013CH271I-50C SP/180,,,,1.0,2.0,,1.0,,
013CH271I-50C SP/181,,,2.0,1.0,,,,1.0,
013CH271I-50C SP/183,,,,,22.0,,1.0,,20.0
014CH1069-02B,,,,1.0,,,,,
014CH1069-03B,,,,2.0,,,,,
014CH1069-59B,,1.0,,1.0,,,,,
014CH1070-03B,,,1.0,2.0,,,3.0,,
014CH1070-03LB,,3.0,2.0,2.0,4.0,,3.0,2.0,2.0
014CH1070-17B,,3.0,,5.0,12.0,,2.0,5.0,2.0
