,ç›å…,éÛíç
001JZ02,0,0
001SP/71,0,0
00218/2550,0,0
00218/2557,0,0
00218/2559,0,0
00222/2286,0,0
00222/2298,0,0
00222/2393,0,0
00222/2459,49,13
00222/2600,177,73
00222/2601,185,112
00222/2602,0,0
00222/2603,0,0
00222/2604,0,0
00222/2605,0,0
00222/2607,209,85
00222/2608,0,0
00222/2614,58,55
00222/2618,196,57
00222/2619,67,46
00222/2800,116,134
00222/2802,134,286
00222/2806,40,90
00222/2807,119,132
00222/2808,77,86
00228/2140,141,18
00228/2149,104,61
00228/2305,0,0
00228/2448,-8,0
00228/2520,213,125
00228/2522,145,43
00228/2525,-89,121
00228/2526,0,0
00228/2527,82,34
00228/2529,87,81
00228/4100,0,0
00228/4102,0,0
00228/4103,4,0
00228/4104,0,0
00228/4105,73,25
00228/4106,64,61
00228/4107,88,23
00228/4108,0,0
00228/4109,12,0
00228/4160,150,27
00228/4161,114,11
00228/4162,140,37
00228/4164,22,0
00228/4202,81,18
00228/4205,29,12
00228/4209,75,16
00228/8800,128,1
00228/8801,179,0
00228/8807,20,14
00228/8809,152,44
00238/2012,0,0
00238/2016,0,0
00238/2206,38,0
00238/2207,27,0
00238/2230,129,18
00238/2232,63,18
00238/2238,50,40
00238/2306,1,0
00238/2309,25,0
00238/2350,95,5
00238/2352,195,216
00238/2356,152,2
00238/2358,105,4
00238/2438,168,24
00238/2439,0,0
00238/2542,108,101
00238/2546,291,213
00238/2549,156,44
00238/2550,144,9
00238/2551,43,0
00238/2552,62,2
00238/2554,55,3
00238/2556,106,26
00238/2558,277,118
00238/2559,156,52
00238/2560,0,0
00238/2567,159,13
00238/2568,121,92
00238/2690,281,139
00238/2692,120,41
00238/2696,177,0
00238/4222,133,38
00238/4226,175,40
00238/4228,334,37
00238/6171,69,26
00238/6174,162,9
00238/6177,267,27
00238/6178,1322,802
00248/2003,129,8
00248/2005,57,9
00248/2007,112,26
00248/2009,86,46
00248/2200,79,22
00248/2206,74,38
00248/2207,212,23
00248/2400,175,168
00248/2402,265,8
00248/2406,156,49
00248/2600,246,265
00248/2608,241,488
00248/2609,141,76
00248/4501,99,4
00248/4507,73,18
00248/4508,0,0
00248/4724,0,0
00248/4727,0,0
00248/4942,28,0
00248/4943,70,21
00248/4944,51,42
00248/4947,125,15
00248/6000,269,182
00248/6002,98,15
00248/6009,197,49
00248/6302,55,14
00248/6304,57,84
00248/6306,21,24
00248/6308,1,0
00248/8144,0,0
00248/8145,99,22
00248/8148,25,3
00258/2272,260,44
00258/2274,0,0
00258/2276,244,18
00258/2279,102,6
00258/2760,0,0
00258/2762,0,0
00258/2767,0,0
00258/2769,0,0
00258/2791,0,0
00258/2792,0,0
00258/2794,0,0
00258/2796,0,0
00258/2797,0,0
00258/6092,249,0
00268/2704,0,0
00268/2705,0,0
00268/2707,0,0
002FIT/DBR,2,0
002FIT/DGY,7,0
002FIT/GRY,11,0
002FIT/NV,9,0
002FIT/PA,31,0
002SN/01,544,15
002SN/02,165,6
002SN/03,125,0
002SO/11,3,0
002SO/12,16,0
002SO/13,6,0
002SO/14,17,0
002SP/122N,23,22
002SP/126N,52,6
002SP/140,38,0
002SP/150,50,0
002SP/180,180,29
002SP/181,463,18
002SP/182,105,4
002SP/183,475,133
002SP/184,99,0
002SP/206,0,0
002SP/207,0,0
002SP/209,0,0
002SP/70,11,0
002SP/72,26,0
004L6/156,864,0
013CH1069-02C SP/176,3,0
013CH1069-02C SP/178,4,1
013CH1069-02C SP/197,9,1
013CH1069-02C SP/198,6,0
013CH1069-03C SP/176,4,0
013CH1069-03C SP/178,0,0
013CH1069-03C SP/197,8,0
013CH1069-03C SP/198,12,0
013CH1069-59C SP/176,2,0
013CH1069-59C SP/178,6,1
013CH1069-59C SP/197,10,0
013CH1069-59C SP/198,10,0
013CH1070-03C SN/02,4,0
013CH1070-03C SN/03,6,0
013CH1070-03C SP/180,6,0
013CH1070-03C SP/183,6,4
013CH1070-03LC SN/02,4,2
013CH1070-03LC SN/03,6,0
013CH1070-03LC SP/180,3,0
013CH1070-03LC SP/183,2,4
013CH1070-17C SN/02,3,1
013CH1070-17C SN/03,6,0
013CH1070-17C SP/176,2,0
013CH1070-17C SP/178,4,1
013CH1070-17C SP/180,6,0
013CH1070-17C SP/183,3,4
013CH1070-17C SP/197,3,0
013CH1070-17C SP/198,5,1
013CH232-03C SN/02,1,0
013CH232-03C SP/184,3,0
013CH232-06C SP/183,1,0
013CH232-07C SP/180,1,0
013CH232-07C SP/182,1,0
013CH232-07C SP/184,1,0
013CH232-08C SP/180,15,0
013CH232-08C SP/181,2,0
013CH232-08C SP/182,7,0
013CH232-08C SP/184,1,0
013CH232-09C SP/180,8,0
013CH232-09C SP/182,1,0
013CH232-09C SP/184,2,0
013CH232-49C SP/126N,2,0
013CH232-49C SP/180,6,0
013CH232-49C SP/181,2,0
013CH232-49C SP/182,7,0
013CH232-49C SP/184,2,0
013CH232-50C SP/180,12,0
013CH232-50C SP/181,1,0
013CH232-50C SP/182,4,0
013CH232-50C SP/183,3,0
013CH232W-17C SN/02,1,0
013CH232W-35C 10/8101,0,1
013CH232W-35C 10/8102,0,1
013CH232W-35C SN/01,8,0
013CH232W-35C SN/02,5,0
013CH232W-35C SN/03,1,0
013CH232W-35C SP/122N,4,0
013CH232W-35C SP/126N,67,0
013CH232W-35C SP/180,2,2
013CH232W-35C SP/181,7,0
013CH232W-35C SP/183,7,0
013CH232W-35C SP/184,17,0
013CH232W-35C º¨Ÿ“#3,0,4
013CH232W-37C SN/01,1,5
013CH232W-37C SN/02,8,10
013CH232W-37C SN/03,28,5
013CH232W-37C SP/122N,22,7
013CH232W-37C SP/126N,11,0
013CH232W-37C SP/180,5,0
013CH232W-37C SP/182,10,0
013CH232W-37C SP/184,2,0
013CH232W-37C SP/199,2,0
013CH232W-50C SP/122N,1,0
013CH232WI-03C SN/01,0,2
013CH232WI-03C SN/02,8,2
013CH232WI-03C SN/03,10,1
013CH232WI-03C SP/122N,4,3
013CH232WI-03C SP/126N,3,0
013CH232WI-03C SP/181,1,0
013CH232WI-03C SP/184,1,0
013CH232WI-03C SP/199,1,0
013CH232WI-06C SN/01,2,0
013CH232WI-06C SN/02,3,0
013CH232WI-06C SN/03,4,0
013CH232WI-06C SP/122N,3,0
013CH232WI-06C SP/126N,4,0
