hcode,在庫,受注,cat,2019-12-02,2019-12-04,2019-12-06,2019-12-11,2019-12-18,2019-12-25,2020-01-06,2020-01-10,2020-01-22,2020-01-31
002SN/01,46,8,布地,,50.9,,,,,,,,
002SN/02,125,13,布地,,,,,50.0,,,,,
002SN/03,125,0,布地,,,,,,,,,,
002SP/122N,17,21,布地,,51.0,,,,,,,,
002SP/126N,35,11,布地,,,,45.7,,,,,,50.0
002SP/180,202,22,布地,,,,,,,,50.0,,
002SP/181,368,0,布地,,94.9,,,,,,,,
002SP/182,105,0,布地,,,,,,,,,,
002SP/183,336,144,布地,,,,,,,,,,100.0
002SP/184,100,0,布地,,,,,,,,,,
014CH232W-03B,18,9,ﾇｰﾄﾞ,,1.0,4.0,3.0,2.0,,1.0,3.0,8.0,5.0
014CH232W-06B,3,1,ﾇｰﾄﾞ,,3.0,,,,,,,,2.0
014CH232W-07B,8,1,ﾇｰﾄﾞ,,,,,,,,,,
014CH232W-08B,18,7,ﾇｰﾄﾞ,,,,1.0,1.0,3.0,2.0,1.0,1.0,5.0
014CH232W-09B,8,4,ﾇｰﾄﾞ,,,6.0,4.0,1.0,1.0,,,6.0,2.0
014CH232W-17B,25,0,ﾇｰﾄﾞ,,,,,,,,,,
014CH232W-35,18,2,ﾇｰﾄﾞ,,,,,10.0,,,,,
014CH232W-37,82,37,ﾇｰﾄﾞ,,,,,,,,,,
014CH232W-49B,15,3,ﾇｰﾄﾞ,,2.0,2.0,2.0,,1.0,,,4.0,1.0
014CH232W-50B,18,3,ﾇｰﾄﾞ,,,,,2.0,2.0,,,4.0,1.0
014CH261-02LB,5,1,ﾇｰﾄﾞ,,,,,,,,,,
014CH261-03B,5,9,ﾇｰﾄﾞ,,6.0,,5.0,2.0,,3.0,1.0,4.0,10.0
014CH261-17B,10,10,ﾇｰﾄﾞ,,,,,,,5.0,,,5.0
014CH271-03B,8,0,ﾇｰﾄﾞ,10.0,,,,,,,4.0,,13.0
014CH271-17B,17,0,ﾇｰﾄﾞ,,,10.0,,,,,2.0,,10.0
014CH271-35,33,26,ﾇｰﾄﾞ,,,,10.0,10.0,,,,20.0,20.0
014CH271-37,247,122,ﾇｰﾄﾞ,,,,,,,,,,
014CH271-41B,15,0,ﾇｰﾄﾞ,,,,2.0,,3.0,2.0,,,1.0
014CH271-42B,2,0,ﾇｰﾄﾞ,6.0,,,2.0,2.0,,3.0,3.0,,2.0
014CH271E-03B,-1,9,ﾇｰﾄﾞ,,,,,,,,,,
014CH271E-08B,0,19,ﾇｰﾄﾞ,,,,,,,,,14.0,
014CH271E-09B,0,10,ﾇｰﾄﾞ,,,,,,,,,6.0,
014CH271E-17B,-2,13,ﾇｰﾄﾞ,,,,,,,,,2.0,
014CH271E-41B,-1,9,ﾇｰﾄﾞ,,,,,,,,,4.0,
014CH271E-42B,0,10,ﾇｰﾄﾞ,,,,,,,,,4.0,
014CH271E-49B,-1,18,ﾇｰﾄﾞ,,,,,,,,,12.0,
014CH271E-50B,0,25,ﾇｰﾄﾞ,,,,,,,,,18.0,
014CH271N-08B,14,0,ﾇｰﾄﾞ,8.0,,,3.0,2.0,1.0,2.0,5.0,,
014CH271N-09B,15,1,ﾇｰﾄﾞ,4.0,,,4.0,3.0,1.0,4.0,3.0,,
014CH271N-49B,25,1,ﾇｰﾄﾞ,7.0,3.0,,1.0,1.0,3.0,4.0,3.0,,
014CH271N-50B,15,0,ﾇｰﾄﾞ,9.0,5.0,,,2.0,2.0,5.0,6.0,,8.0
014CH351-02B,20,5,ﾇｰﾄﾞ,3.0,,,1.0,1.0,2.0,,,3.0,
014CH351-03B,15,6,ﾇｰﾄﾞ,3.0,,,3.0,1.0,5.0,3.0,,3.0,
014CH351-06B,20,8,ﾇｰﾄﾞ,,,3.0,,,4.0,,,3.0,
014CH351-07B,16,12,ﾇｰﾄﾞ,,,4.0,1.0,3.0,1.0,1.0,1.0,3.0,10.0
014CH351-17B,7,7,ﾇｰﾄﾞ,,,4.0,1.0,3.0,4.0,2.0,,1.0,5.0
014CH351-17LB,5,0,ﾇｰﾄﾞ,,,,,,,,,,
014CH351-49B,13,11,ﾇｰﾄﾞ,,,3.0,3.0,3.0,1.0,1.0,1.0,3.0,8.0
014CH351-50B,15,8,ﾇｰﾄﾞ,,,5.0,,2.0,4.0,,,3.0,3.0
014CH356-59B,11,26,ﾇｰﾄﾞ,,,20.0,20.0,,10.0,10.0,,5.0,20.0
014KL294-08/09B,2,1,ﾇｰﾄﾞ,,,,,,,,,,
014KL686-17B,4,0,ﾇｰﾄﾞ,,,,,,,,,,
014KL686-41NB,6,1,ﾇｰﾄﾞ,,,,,,,,,,
014KL686-42NB,9,1,ﾇｰﾄﾞ,,,,,,,,,,
013CH232WI-03C SN/01,0,2,ｶﾊﾞｰ,,,,,,,1.0,,,2.0
013CH232WI-06C SN/01,1,0,ｶﾊﾞｰ,,,,1.0,1.0,,1.0,,,
013CH232WI-07C SN/01,2,0,ｶﾊﾞｰ,,,,,,,,,,
013CH232WI-08C SN/01,6,0,ｶﾊﾞｰ,,,,,,,,,,1.0
013CH232WI-09C SN/01,7,1,ｶﾊﾞｰ,,,,,,,,,,1.0
013CH232WI-17C SN/01,2,0,ｶﾊﾞｰ,,,,,,,,,,1.0
013CH232W-35C SN/01,8,0,ｶﾊﾞｰ,,,,,,,,,,
013CH232W-37C SN/01,5,6,ｶﾊﾞｰ,,,,,,10.0,,,,
013CH232WI-49C SN/01,5,1,ｶﾊﾞｰ,,,,,,,,,,
013CH232WI-50C SN/01,4,0,ｶﾊﾞｰ,,,,1.0,1.0,,,,,
013CH232WI-03C SN/02,4,1,ｶﾊﾞｰ,,2.0,,2.0,,,,,,
013CH232WI-06C SN/02,3,0,ｶﾊﾞｰ,,,,,,,,,,
013CH232WI-07C SN/02,4,0,ｶﾊﾞｰ,,,,,,,,,,
013CH232WI-08C SN/02,3,2,ｶﾊﾞｰ,,3.0,,2.0,,,,2.0,,
013CH232WI-09C SN/02,4,1,ｶﾊﾞｰ,,3.0,,6.0,,,,,,
013CH232WI-17C SN/02,4,0,ｶﾊﾞｰ,,,,,,,,1.0,,
013CH232W-35C SN/02,5,0,ｶﾊﾞｰ,,,,,,,,,,
013CH232W-37C SN/02,8,5,ｶﾊﾞｰ,,,,,,10.0,,,,
013CH232WI-49C SN/02,2,1,ｶﾊﾞｰ,,2.0,,6.0,,,,,,
013CH232WI-50C SN/02,6,1,ｶﾊﾞｰ,,,,1.0,,,,1.0,,
013CH232WI-03C SN/03,8,4,ｶﾊﾞｰ,,3.0,,,,,1.0,1.0,3.0,4.0
013CH232WI-06C SN/03,5,1,ｶﾊﾞｰ,,,,,,,,,,
013CH232WI-07C SN/03,5,0,ｶﾊﾞｰ,,,,,,,,,,
013CH232WI-08C SN/03,10,3,ｶﾊﾞｰ,,,,1.0,1.0,2.0,1.0,,2.0,1.0
013CH232WI-09C SN/03,8,3,ｶﾊﾞｰ,,5.0,,,,,,,1.0,3.0
013CH232WI-17C SN/03,8,0,ｶﾊﾞｰ,,,,,,,,,,
013CH232W-35C SN/03,1,0,ｶﾊﾞｰ,,,,,,10.0,,,,
013CH232W-37C SN/03,10,20,ｶﾊﾞｰ,,30.0,,,,,,20.0,,3.0
013CH232WI-49C SN/03,6,2,ｶﾊﾞｰ,,5.0,,1.0,,,,,1.0,1.0
013CH232WI-50C SN/03,8,2,ｶﾊﾞｰ,,,,1.0,1.0,2.0,,1.0,,2.0
